model_id,feature,coefficient,std_error,z_stat,p_value,odds_ratio,intercept,penalty,C,solver
WLOG001,const,-2.632230661066843,0.014215407336541416,-185.16744534647012,0.0,0.07191785881179291,,,,
WLOG001,RevolvingUtilization_final_bin_woe,-0.9986162167177802,0.012480283945158849,-80.01550454348015,0.0,0.36838885897263773,,,,
WLOG002,const,-2.6114885506226435,0.014562502286245393,-179.32965772573664,0.0,0.07342516530003898,,,,
WLOG002,RevolvingUtilization_final_bin_woe,-0.804141166002183,0.013248522883345895,-60.69666581570627,0.0,0.4474720658030087,,,,
WLOG002,NumberOfTimes90DaysLate_final_bin_woe,-0.7173020944689024,0.012321035808920081,-58.21767792847383,0.0,0.48806724061817747,,,,
WLOG003,const,-2.599617075424904,0.014806092253247005,-175.57752788247032,0.0,0.07430202483882067,,,,
WLOG003,RevolvingUtilization_final_bin_woe,-0.713436264682052,0.013595550129596944,-52.47571873748096,0.0,0.4899576771936329,,,,
WLOG003,NumberOfTimes90DaysLate_final_bin_woe,-0.612143111733885,0.012820968777991406,-47.74546466291187,0.0,0.5421876543461497,,,,
WLOG003,NumberOfTime30-59DaysPastDueNotWorse_final_bin_woe,-0.57084562529452,0.01468472165786639,-38.87343857067433,0.0,0.5650474182254657,,,,
WLOG004,const,-2.5877834429292648,0.01483979081583086,-174.3813962774096,0.0,0.07518651071329109,,,,
WLOG004,RevolvingUtilization_final_bin_woe,-0.6880440512020175,0.013702963343384115,-50.21133268478091,0.0,0.5025580862500292,,,,
WLOG004,NumberOfTimes90DaysLate_final_bin_woe,-0.5436148590319744,0.013386981800372084,-40.607723767643044,0.0,0.580645502452556,,,,
WLOG004,NumberOfTime30-59DaysPastDueNotWorse_final_bin_woe,-0.49348085246103673,0.015345965724316117,-32.1570412267442,7.04119829912784e-227,0.6104976391829579,,,,
WLOG004,NumberOfTime60-89DaysPastDueNotWorse_final_bin_woe,-0.36917973080291483,0.016943509144337524,-21.788858946394452,2.9593278445814747e-105,0.6913011511730769,,,,
WLOG005,const,-2.592529227680686,0.014960325427454041,-173.29363858108832,0.0,0.07483053707249056,,,,
WLOG005,RevolvingUtilization_final_bin_woe,-0.6435961833826513,0.014075108779415245,-45.72584080656674,0.0,0.525399589320224,,,,
WLOG005,NumberOfTimes90DaysLate_final_bin_woe,-0.5366665740468416,0.013394013634945103,-40.06764429794767,0.0,0.5846940417933291,,,,
WLOG005,NumberOfTime30-59DaysPastDueNotWorse_final_bin_woe,-0.4960589256746008,0.015347903296514585,-32.32095720770229,3.551559130005281e-229,0.6089257586545989,,,,
WLOG005,NumberOfTime60-89DaysPastDueNotWorse_final_bin_woe,-0.3661040007204045,0.01691872636876308,-21.638981134912118,7.719003859514168e-104,0.6934306801692125,,,,
