model_id,feature,importance
T007,RevolvingUtilization_high_flag,0.0
RF001,NumberOfTimes90DaysLate,0.3533933175115649
RF001,NumberOfTime60-89DaysPastDueNotWorse,0.18597624426335338
RF001,RevolvingUtilization_capped,0.1608260102484987
RF001,RevolvingUtilization_log,0.14254083336061132
RF001,NumberOfTime30-59DaysPastDueNotWorse,0.10406381207031357
RF001,age,0.013709433753732804
RF001,age_sq,0.010960696972031166
RF001,NumberOfOpenCreditLinesAndLoans,0.009302678452559105
RF001,DebtRatio_log,0.004842455539039838
RF001,DebtRatio_capped,0.004787916374775861
RF001,MonthlyIncome_median,0.004269573272502904
RF001,NumberRealEstateLoansOrLines,0.0033858893442508934
RF001,NumberOfDependents_median,0.0012144566656746094
RF001,RevolvingUtilization_high_flag,0.0002847295090220894
RF001,MonthlyIncome_missing_flag,0.0002538954008816076
RF001,DebtRatio_high_flag,0.00018573433171685018
RF001,NumberOfDependents_missing_flag,2.322929470433846e-06
RF002,NumberOfTimes90DaysLate,0.3479211172299526
RF002,NumberOfTime60-89DaysPastDueNotWorse,0.16780920293044393
RF002,RevolvingUtilization_capped,0.14694621395742288
RF002,RevolvingUtilization_log,0.14183745561069486
RF002,NumberOfTime30-59DaysPastDueNotWorse,0.12055233907875837
RF002,age,0.015787648701396623
RF002,age_sq,0.012380996239240402
RF002,NumberOfOpenCreditLinesAndLoans,0.01219617847100102
RF002,DebtRatio_capped,0.009068127290934865
RF002,DebtRatio_log,0.009045492885418383
RF002,MonthlyIncome_median,0.007371430259766892
RF002,NumberRealEstateLoansOrLines,0.005635898383608886
RF002,NumberOfDependents_median,0.002386622792813999
RF002,MonthlyIncome_missing_flag,0.00041763637724089633
RF002,DebtRatio_high_flag,0.0003547630855652601
RF002,RevolvingUtilization_high_flag,0.0002825997814231173
RF002,NumberOfDependents_missing_flag,6.276924317055772e-06
RF003,NumberOfTimes90DaysLate,0.3312946158500524
RF003,NumberOfTime60-89DaysPastDueNotWorse,0.163597490445465
RF003,RevolvingUtilization_capped,0.1427202532766544
RF003,RevolvingUtilization_log,0.141787274927315
RF003,NumberOfTime30-59DaysPastDueNotWorse,0.12044809940201177
RF003,age,0.018147431981550347
RF003,NumberOfOpenCreditLinesAndLoans,0.01627973944967647
RF003,age_sq,0.014996034727466679
RF003,DebtRatio_log,0.013908719524212734
RF003,DebtRatio_capped,0.01315336824718651
RF003,MonthlyIncome_median,0.011233673707289105
RF003,NumberRealEstateLoansOrLines,0.007622598776538773
RF003,NumberOfDependents_median,0.003125885201067053
RF003,MonthlyIncome_missing_flag,0.0006556594730310043
RF003,DebtRatio_high_flag,0.0005880046397784079
RF003,RevolvingUtilization_high_flag,0.00042807230294653666
RF003,NumberOfDependents_missing_flag,1.3078067757973046e-05
RF004,NumberOfTimes90DaysLate,0.35723567530440686
RF004,NumberOfTime60-89DaysPastDueNotWorse,0.16205610919585975
RF004,RevolvingUtilization_capped,0.15196011630399264
RF004,RevolvingUtilization_log,0.1457347257008383
RF004,NumberOfTime30-59DaysPastDueNotWorse,0.12060015353043739
RF004,age,0.014650759231292628
RF004,age_sq,0.011862061710383533
RF004,NumberOfOpenCreditLinesAndLoans,0.010747252582042956
RF004,DebtRatio_log,0.006915173927228998
RF004,DebtRatio_capped,0.00657632460221365
RF004,MonthlyIncome_median,0.0051398050968463746
RF004,NumberRealEstateLoansOrLines,0.004622253431258475
RF004,NumberOfDependents_median,0.0014399954021066229
RF004,MonthlyIncome_missing_flag,0.00024337092232681643
RF004,DebtRatio_high_flag,0.00021440905627720196
RF004,NumberOfDependents_missing_flag,1.8140024879329862e-06
RF004,RevolvingUtilization_high_flag,0.0
RF005,RevolvingUtilization_capped,0.27442367320810024
RF005,RevolvingUtilization_log,0.26302814769478416
RF005,NumberOfTimes90DaysLate,0.1696718264701131
RF005,NumberOfTime30-59DaysPastDueNotWorse,0.15836236467992126
RF005,NumberOfTime60-89DaysPastDueNotWorse,0.07309738942938544
RF005,age_sq,0.01464095175343599
RF005,age,0.013278198037122099
RF005,NumberRealEstateLoansOrLines,0.010004089537910143
RF005,NumberOfOpenCreditLinesAndLoans,0.007161018915598999
RF005,DebtRatio_log,0.005964618688909757
RF005,DebtRatio_capped,0.005618806117346755
RF005,MonthlyIncome_median,0.003726212874286953
RF005,NumberOfDependents_median,0.0004981481576922425
RF005,MonthlyIncome_missing_flag,0.0003108047032822505
RF005,DebtRatio_high_flag,0.00017631575426397812
RF005,RevolvingUtilization_high_flag,3.7433977846697595e-05
RF005,NumberOfDependents_missing_flag,0.0
ET001,RevolvingUtilization_log,0.3188257906520198
ET001,RevolvingUtilization_capped,0.2708415125613838
ET001,NumberOfTime30-59DaysPastDueNotWorse,0.11617463821037317
ET001,NumberOfTimes90DaysLate,0.10948699118897155
ET001,NumberOfTime60-89DaysPastDueNotWorse,0.09324389686967201
ET001,age,0.03643925086427481
ET001,age_sq,0.029970885872977325
ET001,NumberOfOpenCreditLinesAndLoans,0.0057209197089659455
ET001,DebtRatio_log,0.003673491492983587
ET001,DebtRatio_capped,0.0032306124596340868
ET001,RevolvingUtilization_high_flag,0.0031564676015643374
