table_name,model_id,split,bucket,total,bad,good,bad_rate,cum_bad,cum_total,cum_bad_pct,cum_total_pct,lift
lift,WLOG001,train,"(0.184, 0.372]",2321,842,1479,0.3627746660922016,842,2321,0.1201827005423922,0.0221950216595105,5.414849437233771
lift,WLOG001,train,"(0.101, 0.184]",16674,3078,13596,0.1845987765383231,3920,18995,0.5595204110762204,0.1816434452487735,3.0803226084482023
lift,WLOG001,train,"(0.0586, 0.101]",9673,1014,8659,0.1048278713946035,4934,28668,0.7042534970025692,0.274143421342029,2.568923571300742
lift,WLOG001,train,"(0.0345, 0.0586]",11127,632,10495,0.0567987777478206,5566,39795,0.7944618898087353,0.3805475600776491,2.087680944916922
lift,WLOG001,train,"(0.0219, 0.0345]",20407,669,19738,0.0327828686235115,6235,60202,0.889951470168427,0.5756935346599983,1.5458771318215827
lift,WLOG001,train,"(0.0133, 0.0219]",44371,771,43600,0.0173762141939555,7006,104573,1.0,1.0,1.0
lift,WLOG001,validation,"(0.184, 0.372]",1000,395,605,0.395,395,1000,0.1315351315351315,0.022312961599393,5.8950099900099895
lift,WLOG001,validation,"(0.101, 0.184]",7228,1313,5915,0.1816546762589928,1708,8228,0.5687645687645687,0.1835910480398063,3.0979972871076416
lift,WLOG001,validation,"(0.0586, 0.101]",4091,380,3711,0.092886824737228,2088,12319,0.6953046953046953,0.2748733739429234,2.529545460627529
lift,WLOG001,validation,"(0.0345, 0.0586]",4727,295,4432,0.0624074465834567,2383,17046,0.7935397935397935,0.3803467434232546,2.086358848238468
lift,WLOG001,validation,"(0.0219, 0.0345]",8698,289,8409,0.0332260289721775,2672,25744,0.8897768897768897,0.5744248834147756,1.5489873706157111
lift,WLOG001,validation,"(0.0133, 0.0219]",19073,331,18742,0.0173543752949195,3003,44817,1.0,1.0,1.0
lift,WLOG002,train,"(0.122, 0.788]",6892,2752,4140,0.3993035403366222,2752,6892,0.3928061661433057,0.0659061134327216,5.960086943137537
