table_name,model_id,split,predicted_prob,actual_rate,bin,count
calibration,WLOG001,train,0.0142991856394735,0.0140094940372814,1,
calibration,WLOG001,train,0.0218628077521964,0.0221018418201516,2,
calibration,WLOG001,train,0.0329961792840662,0.0327828686235115,3,
calibration,WLOG001,train,0.058544568239258,0.0567987777478206,4,
calibration,WLOG001,train,0.1013581206184708,0.1048278713946035,5,
calibration,WLOG001,train,0.1836957508367144,0.1845987765383231,6,
calibration,WLOG001,train,0.3721447126872859,0.3627746660922016,7,
calibration,WLOG001,validation,0.014299185639476,0.0147918511957484,1,
calibration,WLOG001,validation,0.0218628077521917,0.0210715662340999,2,
calibration,WLOG001,validation,0.0330149426998167,0.0332260289721775,3,
calibration,WLOG001,validation,0.0585747309118508,0.0624074465834567,4,
calibration,WLOG001,validation,0.1013581206184959,0.092886824737228,5,
calibration,WLOG001,validation,0.1836957508367268,0.1816546762589928,6,
calibration,WLOG001,validation,0.3721447126873,0.395,7,
calibration,WLOG002,train,0.0150733763094697,0.011933546525232,1,
calibration,WLOG002,train,0.0212164140515556,0.0188679245283018,2,
calibration,WLOG002,train,0.0295719141225718,0.0267933443924998,3,
calibration,WLOG002,train,0.0471144635306933,0.0481298386344557,4,
calibration,WLOG002,train,0.0739649261579674,0.0874058127018299,5,
calibration,WLOG002,train,0.1218675342202075,0.1249641731155058,6,
calibration,WLOG002,train,0.3993745749987624,0.3993035403366222,7,
calibration,WLOG002,validation,0.0150733763094612,0.0117288924702301,1,
calibration,WLOG002,validation,0.0212164140515648,0.0183857086973529,2,
calibration,WLOG002,validation,0.0295884981162963,0.0272566371681415,3,
calibration,WLOG002,validation,0.0471144635306841,0.0500220361392684,4,
calibration,WLOG002,validation,0.0746929069595723,0.0806852035749751,5,
calibration,WLOG002,validation,0.1221722612524768,0.1254624957954927,6,
calibration,WLOG002,validation,0.3978315550235178,0.4017379679144385,7,
calibration,WLOG003,train,0.0135172290380643,0.0086679787278589,1,
calibration,WLOG003,train,0.0183187059274516,0.0135710808179162,2,
calibration,WLOG003,train,0.0231679719459154,0.0168118600030567,3,
calibration,WLOG003,train,0.0254328445650976,0.0211698147641208,4,
calibration,WLOG003,train,0.0363198317961951,0.0378963650425367,5,
calibration,WLOG003,train,0.0531831569114471,0.0644064193856945,6,
calibration,WLOG003,train,0.0836878754940186,0.0917530224525043,7,
calibration,WLOG003,train,0.1318641198669931,0.146404851285013,8,
calibration,WLOG003,train,0.3583050658373726,0.3580758863777731,9,
calibration,WLOG003,validation,0.0135172290380588,0.0089277143131419,1,
calibration,WLOG003,validation,0.018318705927455,0.0131975326352029,2,
calibration,WLOG003,validation,0.0231827496948138,0.0149199417758369,3,
calibration,WLOG003,validation,0.0254327082207412,0.0210727969348659,4,
calibration,WLOG003,validation,0.0363444650435803,0.0322432058959005,5,
calibration,WLOG003,validation,0.0532714215117685,0.0595690747782002,6,
calibration,WLOG003,validation,0.0838350496648813,0.0892119610110688,7,
calibration,WLOG003,validation,0.1318036935206264,0.1741130091984231,8,
