table_name,model_id,split,row_number,population_pct,y_score,cum_bad_pct,cum_good_pct,ks
ks,BLOG001,validation,1.0,2.2312961599393088e-05,0.3627746660922017,0.0,2.3915435021763045e-05,-2.3915435021763045e-05
ks,BLOG001,validation,584.0,0.0130307695740455,0.3627746660922017,0.0745920745920745,0.0086095566078346,0.0659825179842399
ks,BLOG001,validation,1167.0,0.0260392261864917,0.184598776538323,0.1428571428571428,0.0176495910460611,0.1252075518110817
ks,BLOG001,validation,1750.0,0.0390476827989379,0.184598776538323,0.1771561771561771,0.0291289998565073,0.1480271772996697
ks,BLOG001,validation,2333.0,0.052056139411384,0.184598776538323,0.2091242091242091,0.0407758167121059,0.1683483924121031
ks,BLOG001,validation,2916.0,0.0650645960238302,0.184598776538323,0.2464202464202464,0.0520399866073563,0.19438025981289
ks,BLOG001,validation,3500.0,0.0780953655978758,0.184598776538323,0.2833832833832834,0.0633519873726503,0.2200312960106331
ks,BLOG001,validation,4083.0,0.0911038222103219,0.184598776538323,0.3156843156843157,0.0749748887932271,0.2407094268910885
ks,BLOG001,validation,4666.0,0.1041122788227681,0.184598776538323,0.3506493506493506,0.0864064667336298,0.2642428839157207
ks,BLOG001,validation,5249.0,0.1171207354352143,0.184598776538323,0.3832833832833833,0.0980054527191849,0.2852779305641983
ks,BLOG001,validation,5832.0,0.1301291920476605,0.184598776538323,0.4245754245754246,0.1089826373941742,0.3155927871812504
ks,BLOG001,validation,6416.0,0.143159961621706,0.184598776538323,0.4575424575424575,0.1205816233797292,0.3369608341627282
ks,BLOG001,validation,6999.0,0.1561684182341522,0.184598776538323,0.4888444888444888,0.1322762711053714,0.3565682177391174
ks,BLOG001,validation,7582.0,0.1691768748465983,0.184598776538323,0.5258075258075258,0.1435643564356435,0.3822431693718822
ks,BLOG001,validation,8165.0,0.1821853314590445,0.184598776538323,0.5624375624375625,0.1548763572009374,0.407561205236625
ks,BLOG001,validation,8748.0,0.1951937880714907,0.1048278713946035,0.5847485847485847,0.1672167216721672,0.4175318630764175
ks,BLOG001,validation,9332.0,0.2082245576455363,0.1048278713946035,0.6013986013986014,0.1799875639737886,0.4214110374248127
ks,BLOG001,validation,9915.0,0.2212330142579824,0.1048278713946035,0.6213786213786214,0.1924953364901707,0.4288832848884507
ks,BLOG001,validation,10498.0,0.2342414708704286,0.1048278713946035,0.6413586413586414,0.2050031090065528,0.4363555323520885
ks,BLOG001,validation,11081.0,0.2472499274828748,0.1048278713946035,0.6573426573426573,0.217797866743196,0.4395447905994612
ks,BLOG001,validation,11664.0,0.260258384095321,0.1048278713946035,0.6766566766566766,0.2303534701296216,0.4463032065270549
ks,BLOG001,validation,12248.0,0.2732891536693665,0.1048278713946035,0.6916416916416916,0.2432438896063519,0.4483978020353397
ks,BLOG001,validation,12831.0,0.2862976102818127,0.0568161354222942,0.7059607059607059,0.256158224518104,0.4498024814426019
ks,BLOG001,validation,13369.0,0.2983019836222861,0.0568161354222942,0.71994671994672,0.2680202802888984,0.4519264396578215
ks,BLOG001,validation,13952.0,0.3113104402347323,0.0568161354222942,0.7302697302697303,0.2812216004209116,0.4490481298488186
ks,BLOG001,validation,14535.0,0.3243188968471785,0.0568161354222942,0.7449217449217449,0.2941120198976419,0.4508097250241029
ks,BLOG001,validation,15119.0,0.3373496664212241,0.0568161354222942,0.7555777555777555,0.3073133400296551,0.4482644155481003
ks,BLOG001,validation,15702.0,0.3503581230336702,0.0568161354222942,0.7678987678987679,0.3203711675515377,0.4475276003472301
ks,BLOG001,validation,16285.0,0.3633665796461164,0.0568161354222942,0.7798867798867799,0.3334529105084421,0.4464338693783377
ks,BLOG001,validation,16868.0,0.3763750362585626,0.0568161354222942,0.7885447885447886,0.3467738078155641,0.4417709807292244
ks,BLOG001,validation,17451.0,0.3893834928710087,0.0347959969207082,0.7978687978687978,0.3600468742526426,0.4378219236161552
ks,BLOG001,validation,18035.0,0.4024142624450543,0.0347959969207082,0.8065268065268065,0.3733916869947864,0.4331351195320201
ks,BLOG001,validation,18618.0,0.4154227190575005,0.0347959969207082,0.8131868131868132,0.386856076912039,0.4263307362747741
ks,BLOG001,validation,19201.0,0.4284311756699466,0.0347959969207082,0.8178488178488178,0.4004639594394222,0.4173848584093956
ks,BLOG001,validation,19784.0,0.4414396322823928,0.0347959969207082,0.8251748251748252,0.4138805184866312,0.4112943066881939
ks,BLOG001,validation,20367.0,0.454448088894839,0.0347959969207082,0.8328338328338328,0.4272731620988186,0.4055606707350142
ks,BLOG001,validation,20951.0,0.4674788584688846,0.0347959969207082,0.8384948384948385,0.4408332137561582,0.3976616247386803
ks,BLOG001,validation,21534.0,0.4804873150813307,0.0347959969207082,0.8428238428238428,0.4544650117185632,0.3883588311052796
ks,BLOG001,validation,22117.0,0.4934957716937769,0.0347959969207082,0.8488178488178488,0.4679772325058592,0.3808406163119895
ks,BLOG001,validation,22700.0,0.5065042283062231,0.0293089540198977,0.8564768564768565,0.4813698761180466,0.3751069803588098
ks,BLOG001,validation,23283.0,0.5195126849186693,0.0293089540198977,0.8618048618048618,0.4949299277753862,0.3668749340294756
ks,BLOG001,validation,23866.0,0.5325211415311154,0.0293089540198977,0.8677988677988678,0.5084421485626823,0.3593567192361855
ks,BLOG001,validation,24450.0,0.545551911105161,0.0293089540198977,0.8734598734598734,0.522002200220022,0.3514576732398514
ks,BLOG001,validation,25033.0,0.5585603677176072,0.0293089540198977,0.8837828837828838,0.5352035203520352,0.3485793634308486
ks,BLOG001,validation,25616.0,0.5715688243300533,0.0293089540198977,0.8891108891108891,0.5487635720093749,0.3403473171015142
ks,BLOG001,validation,26199.0,0.5845772809424995,0.0221018418201516,0.8924408924408924,0.5624671162768451,0.3299737761640473
ks,BLOG001,validation,26782.0,0.5975857375549457,0.0221018418201516,0.8961038961038961,0.5761467451092935,0.3199571509946025
ks,BLOG001,validation,27366.0,0.6106165071289912,0.0221018418201516,0.9000999000999002,0.589826373941742,0.3102735261581582
ks,BLOG001,validation,27949.0,0.6236249637414374,0.0221018418201516,0.9047619047619048,0.6034342564691252,0.3013276482927796
ks,BLOG001,validation,28532.0,0.6366334203538836,0.0221018418201516,0.9087579087579088,0.6170899698665518,0.2916679388913569
ks,BLOG001,validation,29115.0,0.6496418769663297,0.0221018418201516,0.9117549117549116,0.6308174295690439,0.2809374821858679
ks,BLOG001,validation,29698.0,0.6626503335787759,0.0221018418201516,0.918081918081918,0.6443057349213183,0.2737761831605998
ks,BLOG001,validation,30282.0,0.6756811031528215,0.0221018418201516,0.9230769230769232,0.6579136174487014,0.2651633056282217
