model_id,split,top_population_pct,top_bucket_bad_rate,top_bucket_default_capture,top_bucket_avg_pd,row_count
BLOG001,train,0.05,0.2637719969395562,0.19683128746788467,0.26370096468953813,5228
BLOG001,train,0.1,0.22712058907908578,0.3389951470168427,0.22414608835381047,10457
BLOG001,train,0.2,0.19666252271205892,0.5870682272337996,0.19705291599915092,20914
BLOG001,validation,0.05,0.27098214285714284,0.20213120213120214,0.264141584374876,2240
BLOG001,validation,0.1,0.22673510377147957,0.3383283383283383,0.2243613048922348,4481
BLOG001,validation,0.2,0.19747852281602143,0.5894105894105894,0.19793630574430815,8963
BLOG002,train,0.05,0.44185156847742924,0.329717385098487,0.4605614282479913,5228
BLOG002,train,0.1,0.3063019986611839,0.4571795603768199,0.302025670092244,10457
BLOG002,train,0.2,0.21516687386439706,0.642306594347702,0.2095561616525702,20914
BLOG002,validation,0.05,0.43705357142857143,0.326007326007326,0.4610813629992708,2240
BLOG002,validation,0.1,0.30707431376924793,0.45820845820845824,0.3033578818241391,4481
BLOG002,validation,0.2,0.2177842240321321,0.65001665001665,0.21042689516965019,8963
BLOG003,train,0.05,0.4667176740627391,0.3482729089351984,0.48210827388395633,5228
BLOG003,train,0.1,0.3439801090178828,0.5134170710819298,0.34118672123505045,10457
BLOG003,train,0.2,0.22372573395811418,0.6678561233228661,0.21961709206306648,20914
BLOG003,validation,0.05,0.45803571428571427,0.34165834165834164,0.4848967475159317,2240
BLOG003,validation,0.1,0.35259986610131666,0.5261405261405261,0.34333851612015087,4481
BLOG003,validation,0.2,0.22849492357469597,0.681984681984682,0.22076766925509966,8963
BLOG004,train,0.05,0.4751338944146901,0.3545532400799315,0.4999715163616297,5228
BLOG004,train,0.1,0.35536004590226644,0.5304025121324579,0.3479865385351894,10457
BLOG004,train,0.2,0.22955914698288227,0.6852697687696261,0.22219691931278088,20914
BLOG004,validation,0.05,0.4732142857142857,0.35298035298035296,0.5048408554770708,2240
BLOG004,validation,0.1,0.3586253068511493,0.5351315351315351,0.3509389788189633,4481
BLOG004,validation,0.2,0.2337387035590762,0.6976356976356977,0.2235362651265848,8963
BLOG005,train,0.05,0.4770466717674063,0.3559805880673708,0.5018564304189186,5228
BLOG005,train,0.1,0.35574256478913646,0.5309734513274337,0.3500084732943351,10457
BLOG005,train,0.2,0.23328870612986516,0.6964030830716529,0.22536945150780188,20914
BLOG005,validation,0.05,0.4767857142857143,0.35564435564435565,0.5049448564107369,2240
BLOG005,validation,0.1,0.3613032805177416,0.5391275391275391,0.35216607024399393,4481
BLOG005,validation,0.2,0.2402097511993752,0.716949716949717,0.2263957938806438,8963
BNB001,train,0.05,0.46958684009181334,0.3504139309163574,0.9864458979058824,5228
BNB001,train,0.1,0.3573682700583341,0.5333999429060805,0.8430885948968821,10457
BNB001,train,0.2,0.23596633833795544,0.7043962318013132,0.5042046796099857,20914
BNB001,validation,0.05,0.4732142857142857,0.35298035298035296,0.9873608427902744,2240
BNB001,validation,0.1,0.3624191028788217,0.5407925407925408,0.8441052514794292,4481
BNB001,validation,0.2,0.2384246346089479,0.7116217116217116,0.5048945705136884,8963
BNB002,train,0.05,0.46958684009181334,0.3504139309163574,0.9989896083343994,5228
BNB002,train,0.1,0.3573682700583341,0.5333999429060805,0.9822411236921835,10457
BNB002,train,0.2,0.23596633833795544,0.7043962318013132,0.8371982514590954,20914
BNB002,validation,0.05,0.4732142857142857,0.35298035298035296,0.9990607855687926,2240
BNB002,validation,0.1,0.3624191028788217,0.5407925407925408,0.9823607122551581,4481
BNB002,validation,0.2,0.2384246346089479,0.7116217116217116,0.8367641507338088,8963
BNB003,train,0.05,0.46958684009181334,0.3504139309163574,0.986445075005561,5228
BNB003,train,0.1,0.3573682700583341,0.5333999429060805,0.8430832620182417,10457
