model_id,split,mean_abs_calibration_error,max_abs_calibration_error,mean_squared_calibration_error
LGB003,train,0.0036266551505926385,0.014144879133690391,2.636050318546438e-05
LGB003,validation,0.002386383679299109,0.005374336010507491,8.519528477777779e-06
LGB004,train,0.0035428787444248258,0.01278608923185326,2.305883975198789e-05
LGB004,validation,0.0026905097988853483,0.0065258120404022985,1.1272423336588725e-05
LRSTACK001,train,0.010342371860381496,0.0200355811473888,0.0001307451407886167
LRSTACK001,validation,0.011281079503340962,0.02771434359681,0.00017721109738720592
NN001,train,0.005038696034576866,0.013702627210290252,4.5766029184063174e-05
NN001,validation,0.00451692923270291,0.021851848071874513,5.8646596447343515e-05
NN002,train,0.004801695362594496,0.018853019620799882,4.731538831502034e-05
NN002,validation,0.004847829930612862,0.022136296224822827,6.140494339939331e-05
NN003,train,0.002941191999396124,0.014299171287016632,2.3844733767467174e-05
NN003,validation,0.0028291172502803706,0.014189656962083907,2.3248733457326407e-05
NN004,train,0.0016393293093851084,0.004131981540739196,3.492952481941246e-06
NN004,validation,0.0023119312822855896,0.0098207985487197,1.2592128991211729e-05
NN005,train,0.007464792208736073,0.033127078080016525,0.00016330201267537338
NN005,validation,0.008650974962350313,0.036830288445223625,0.0002012049953554665
NN006,train,0.0037058900546086196,0.011394144472733791,2.5022691754985784e-05
NN006,validation,0.0032168809052892993,0.01534722296866059,2.8530404543758565e-05
NN007,train,0.0028475957048946722,0.010540633689254009,1.552337981201619e-05
NN007,validation,0.003386086166470719,0.011766843028158391,2.1936456553266114e-05
NN008,train,0.008659677462185617,0.03578927427043127,0.00018483226127420085
NN008,validation,0.008525769977384433,0.037722195700946426,0.0001961592609944326
NN009,train,0.0025098763388175507,0.009373078877169205,1.4876932838539977e-05
NN009,validation,0.002925481235891412,0.010060570795202596,1.7227553863310524e-05
NN010,train,0.008571732604335558,0.023158089185435493,0.00011422608600864429
NN010,validation,0.009132636603761391,0.023450660198872597,0.00011640025183238972
