model_id,split,threshold,approval_rate,rejection_rate,approved_bad_rate,rejected_bad_rate,captured_bad_share_rejected,avg_approved_pd,avg_rejected_pd
BLOG001,train,0.01,0.0,1.0,,0.06699626098514913,1.0,,0.06699626098514917
BLOG001,train,0.02,0.2477790634293747,0.7522209365706253,0.014009494037281463,0.08444992499555058,0.948187268055952,0.01400949403728174,0.08444992499555055
BLOG001,train,0.03,0.49543381178698137,0.5045661882130187,0.01908934741068154,0.11403608520961261,0.8588352840422495,0.019089347410681676,0.11403608520961259
BLOG001,train,0.04,0.6196532565767454,0.3803467434232546,0.02223799749996142,0.13991552270327348,0.7943191550099914,0.022237997499961526,0.13991552270327348
BLOG001,train,0.05,0.6196532565767454,0.3803467434232546,0.02223799749996142,0.13991552270327348,0.7943191550099914,0.022237997499961526,0.13991552270327348
BLOG001,train,0.06,0.725856578657971,0.274143421342029,0.027297279494104473,0.17210827403376588,0.7042534970025692,0.027297279494104557,0.1721082740337658
BLOG001,train,0.07,0.725856578657971,0.274143421342029,0.027297279494104473,0.17210827403376588,0.7042534970025692,0.027297279494104557,0.1721082740337658
BLOG001,train,0.08,0.725856578657971,0.274143421342029,0.027297279494104473,0.17210827403376588,0.7042534970025692,0.027297279494104557,0.1721082740337658
BLOG001,train,0.09,0.725856578657971,0.274143421342029,0.027297279494104473,0.17210827403376588,0.7042534970025692,0.027297279494104557,0.1721082740337658
BLOG001,train,0.1,0.725856578657971,0.274143421342029,0.027297279494104473,0.17210827403376588,0.7042534970025692,0.027297279494104557,0.1721082740337658
BLOG001,train,0.11,0.8183565547512264,0.18164344524877357,0.03606066979831265,0.20637009739405107,0.5595204110762204,0.036060669798312725,0.20637009739405096
BLOG001,train,0.12,0.8183565547512264,0.18164344524877357,0.03606066979831265,0.20637009739405107,0.5595204110762204,0.036060669798312725,0.20637009739405096
BLOG001,train,0.13,0.8183565547512264,0.18164344524877357,0.03606066979831265,0.20637009739405107,0.5595204110762204,0.036060669798312725,0.20637009739405096
BLOG001,train,0.14,0.8183565547512264,0.18164344524877357,0.03606066979831265,0.20637009739405107,0.5595204110762204,0.036060669798312725,0.20637009739405096
BLOG001,train,0.15,0.8183565547512264,0.18164344524877357,0.03606066979831265,0.20637009739405107,0.5595204110762204,0.036060669798312725,0.20637009739405096
BLOG001,train,0.16,0.8183565547512264,0.18164344524877357,0.03606066979831265,0.20637009739405107,0.5595204110762204,0.036060669798312725,0.20637009739405096
BLOG001,train,0.17,0.8183565547512264,0.18164344524877357,0.03606066979831265,0.20637009739405107,0.5595204110762204,0.036060669798312725,0.20637009739405096
