model_id,split,top_population_share,top_population_count,overall_default_rate,top_group_default_rate,top_group_default_count,default_capture_share,lift_vs_overall
BLOG001,validation,0.01,448,0.06700582368297744,0.38169642857142855,171,0.056943056943056944,5.696466479948622
BLOG001,validation,0.02,896,0.06700582368297744,0.3950892857142857,354,0.11788211788211789,5.896342496788925
BLOG001,validation,0.03,1344,0.06700582368297744,0.33779761904761907,454,0.15118215118215117,5.041317313638742
BLOG001,validation,0.04,1792,0.06700582368297744,0.30357142857142855,544,0.18115218115218115,4.530523048380191
BLOG001,validation,0.05,2240,0.06700582368297744,0.28080357142857143,629,0.20945720945720947,4.190733819751677
BLOG001,validation,0.06,2689,0.06700582368297744,0.2655262179248791,714,0.23776223776223776,3.9627334361436253
BLOG001,validation,0.07,3137,0.06700582368297744,0.2562958240357029,804,0.2677322677322677,3.824978336932433
BLOG001,validation,0.08,3585,0.06700582368297744,0.24546722454672246,880,0.29304029304029305,3.6633714960074792
BLOG001,validation,0.09,4033,0.06700582368297744,0.23729233820976942,957,0.31868131868131866,3.541368871644101
BLOG001,validation,0.1,4481,0.06700582368297744,0.23142155768801606,1037,0.34532134532134534,3.453752897403868
BLOG001,validation,0.11,4929,0.06700582368297744,0.2266179752485291,1117,0.37196137196137197,3.382063868369407
BLOG001,validation,0.12,5378,0.06700582368297744,0.2227593901078468,1198,0.3989343989343989,3.324478050770353
BLOG001,validation,0.13,5826,0.06700582368297744,0.21901819430140748,1276,0.4249084249084249,3.268644160508218
BLOG001,validation,0.14,6274,0.06700582368297744,0.21437679311444055,1345,0.4478854478854479,3.1993755367998276
BLOG001,validation,0.15,6722,0.06700582368297744,0.21422195775066943,1440,0.47952047952047955,3.1970647620751755
BLOG001,validation,0.16,7170,0.06700582368297744,0.21115760111576012,1514,0.5041625041625042,3.151332070997343
BLOG001,validation,0.17,7618,0.06700582368297744,0.2088474665266474,1591,0.5298035298035298,3.116855446994591
BLOG001,validation,0.18,8067,0.06700582368297744,0.20837981901574315,1681,0.5597735597735598,3.109876240036151
BLOG001,validation,0.19,8515,0.06700582368297744,0.20352319436288901,1733,0.5770895770895771,3.037395604982217
BLOG001,validation,0.2,8963,0.06700582368297744,0.19904049983264532,1784,0.594072594072594,2.97049553146842
BLOG001,validation,0.21,9411,0.06700582368297744,0.1932844543619169,1819,0.6057276057276058,2.884591871840836
BLOG001,validation,0.22,9859,0.06700582368297744,0.18866010751597526,1860,0.6193806193806194,2.8155777684127417
BLOG001,validation,0.23,10307,0.06700582368297744,0.18453478218686328,1902,0.6333666333666333,2.754011099989561
BLOG001,validation,0.24,10756,0.06700582368297744,0.18073633320937152,1944,0.6473526473526473,2.697322759055745
