model_id,split,threshold,predicted_0_count,predicted_1_count,predicted_1_share,actual_1_count,true_positive_count,false_positive_count,false_negative_count,true_negative_count
BLOG001,validation,0.72,44817,0,0.0,3003,0,0,3003,41814
BLOG001,validation,0.73,44817,0,0.0,3003,0,0,3003,41814
BLOG001,validation,0.74,44817,0,0.0,3003,0,0,3003,41814
BLOG001,validation,0.75,44817,0,0.0,3003,0,0,3003,41814
BLOG001,validation,0.76,44817,0,0.0,3003,0,0,3003,41814
BLOG001,validation,0.77,44817,0,0.0,3003,0,0,3003,41814
BLOG001,validation,0.78,44817,0,0.0,3003,0,0,3003,41814
BLOG001,validation,0.79,44817,0,0.0,3003,0,0,3003,41814
BLOG001,validation,0.8,44817,0,0.0,3003,0,0,3003,41814
BLOG001,validation,0.81,44817,0,0.0,3003,0,0,3003,41814
BLOG001,validation,0.82,44817,0,0.0,3003,0,0,3003,41814
BLOG001,validation,0.83,44817,0,0.0,3003,0,0,3003,41814
BLOG001,validation,0.84,44817,0,0.0,3003,0,0,3003,41814
BLOG001,validation,0.85,44817,0,0.0,3003,0,0,3003,41814
BLOG001,validation,0.86,44817,0,0.0,3003,0,0,3003,41814
BLOG001,validation,0.87,44817,0,0.0,3003,0,0,3003,41814
BLOG001,validation,0.88,44817,0,0.0,3003,0,0,3003,41814
BLOG001,validation,0.89,44817,0,0.0,3003,0,0,3003,41814
BLOG001,validation,0.9,44817,0,0.0,3003,0,0,3003,41814
BLOG001,validation,0.91,44817,0,0.0,3003,0,0,3003,41814
BLOG001,validation,0.92,44817,0,0.0,3003,0,0,3003,41814
BLOG001,validation,0.93,44817,0,0.0,3003,0,0,3003,41814
BLOG001,validation,0.94,44817,0,0.0,3003,0,0,3003,41814
BLOG001,validation,0.95,44817,0,0.0,3003,0,0,3003,41814
BLOG001,validation,0.96,44817,0,0.0,3003,0,0,3003,41814
BLOG001,validation,0.97,44817,0,0.0,3003,0,0,3003,41814
BLOG001,validation,0.98,44817,0,0.0,3003,0,0,3003,41814
BLOG001,validation,0.99,44817,0,0.0,3003,0,0,3003,41814
BLOG002,validation,0.01,0,44817,1.0,3003,3003,41814,0,0
BLOG002,validation,0.02,11169,33648,0.7507865318963786,3003,2872,30776,131,11038
BLOG002,validation,0.03,21861,22956,0.5122163464756677,3003,2663,20293,340,21521
BLOG002,validation,0.04,27313,17504,0.3905660798357766,3003,2500,15004,503,26810
BLOG002,validation,0.05,31851,12966,0.2893098600977308,3003,2273,10693,730,31121
BLOG002,validation,0.06,31851,12966,0.2893098600977308,3003,2273,10693,730,31121
BLOG002,validation,0.07,31949,12868,0.2871231898609902,3003,2251,10617,752,31197
BLOG002,validation,0.08,31949,12868,0.2871231898609902,3003,2251,10617,752,31197
BLOG002,validation,0.09,35783,9034,0.20157529508891714,3003,1963,7071,1040,34743
BLOG002,validation,0.1,35783,9034,0.20157529508891714,3003,1963,7071,1040,34743
BLOG002,validation,0.11,35894,8923,0.19909855635138451,3003,1940,6983,1063,34831
BLOG002,validation,0.12,41825,2992,0.06676038110538411,3003,1202,1790,1801,40024
BLOG002,validation,0.13,41900,2917,0.06508690898542964,3003,1181,1736,1822,40078
BLOG002,validation,0.14,41900,2917,0.06508690898542964,3003,1181,1736,1822,40078
BLOG002,validation,0.15,41908,2909,0.06490840529263449,3003,1175,1734,1828,40080
BLOG002,validation,0.16,42009,2808,0.06265479617109579,3003,1156,1652,1847,40162
BLOG002,validation,0.17,42009,2808,0.06265479617109579,3003,1156,1652,1847,40162
BLOG002,validation,0.18,42009,2808,0.06265479617109579,3003,1156,1652,1847,40162
BLOG002,validation,0.19,42030,2787,0.06218622397750853,3003,1147,1640,1856,40174
BLOG002,validation,0.2,42030,2787,0.06218622397750853,3003,1147,1640,1856,40174
BLOG002,validation,0.21,42035,2782,0.06207465916951157,3003,1145,1637,1858,40177
BLOG002,validation,0.22,42035,2782,0.06207465916951157,3003,1145,1637,1858,40177
BLOG002,validation,0.23,42896,1921,0.04286319923243412,3003,883,1038,2120,40776
BLOG002,validation,0.24,42896,1921,0.04286319923243412,3003,883,1038,2120,40776
BLOG002,validation,0.25,42908,1909,0.042595443693241405,3003,879,1030,2124,40784
BLOG002,validation,0.26,42908,1909,0.042595443693241405,3003,879,1030,2124,40784
BLOG002,validation,0.27,42908,1909,0.042595443693241405,3003,879,1030,2124,40784
BLOG002,validation,0.28,42908,1909,0.042595443693241405,3003,879,1030,2124,40784
BLOG002,validation,0.29,42912,1905,0.04250619184684383,3003,878,1027,2125,40787
BLOG002,validation,0.3,42912,1905,0.04250619184684383,3003,878,1027,2125,40787
BLOG002,validation,0.31,42912,1905,0.04250619184684383,3003,878,1027,2125,40787
BLOG002,validation,0.32,42941,1876,0.041859115960461435,3003,864,1012,2139,40802
BLOG002,validation,0.33,42941,1876,0.041859115960461435,3003,864,1012,2139,40802
BLOG002,validation,0.34,42941,1876,0.041859115960461435,3003,864,1012,2139,40802
BLOG002,validation,0.35,43123,1694,0.03779815694937189,3003,809,885,2194,40929
BLOG002,validation,0.36,43123,1694,0.03779815694937189,3003,809,885,2194,40929
BLOG002,validation,0.37,43123,1694,0.03779815694937189,3003,809,885,2194,40929
BLOG002,validation,0.38,43123,1694,0.03779815694937189,3003,809,885,2194,40929
BLOG002,validation,0.39,43123,1694,0.03779815694937189,3003,809,885,2194,40929
BLOG002,validation,0.4,43142,1675,0.03737421067898342,3003,795,880,2208,40934
BLOG002,validation,0.41,43142,1675,0.03737421067898342,3003,795,880,2208,40934
BLOG002,validation,0.42,43142,1675,0.03737421067898342,3003,795,880,2208,40934
BLOG002,validation,0.43,43887,930,0.02075105428743557,3003,516,414,2487,41400
BLOG002,validation,0.44,43887,930,0.02075105428743557,3003,516,414,2487,41400
BLOG002,validation,0.45,43887,930,0.02075105428743557,3003,516,414,2487,41400
BLOG002,validation,0.46,43928,889,0.019836222861860455,3003,501,388,2502,41426
BLOG002,validation,0.47,43928,889,0.019836222861860455,3003,501,388,2502,41426
BLOG002,validation,0.48,43928,889,0.019836222861860455,3003,501,388,2502,41426
BLOG002,validation,0.49,43928,889,0.019836222861860455,3003,501,388,2502,41426
BLOG002,validation,0.5,43928,889,0.019836222861860455,3003,501,388,2502,41426
BLOG002,validation,0.51,43928,889,0.019836222861860455,3003,501,388,2502,41426
BLOG002,validation,0.52,43928,889,0.019836222861860455,3003,501,388,2502,41426
BLOG002,validation,0.53,43928,889,0.019836222861860455,3003,501,388,2502,41426
BLOG002,validation,0.54,44220,597,0.013320838074837674,3003,361,236,2642,41578
BLOG002,validation,0.55,44220,597,0.013320838074837674,3003,361,236,2642,41578
BLOG002,validation,0.56,44220,597,0.013320838074837674,3003,361,236,2642,41578
BLOG002,validation,0.57,44220,597,0.013320838074837674,3003,361,236,2642,41578
BLOG002,validation,0.58,44220,597,0.013320838074837674,3003,361,236,2642,41578
BLOG002,validation,0.59,44220,597,0.013320838074837674,3003,361,236,2642,41578
BLOG002,validation,0.6,44220,597,0.013320838074837674,3003,361,236,2642,41578
BLOG002,validation,0.61,44220,597,0.013320838074837674,3003,361,236,2642,41578
BLOG002,validation,0.62,44378,439,0.009795390142133565,3003,279,160,2724,41654
BLOG002,validation,0.63,44672,145,0.0032353794319119975,3003,101,44,2902,41770
BLOG002,validation,0.64,44672,145,0.0032353794319119975,3003,101,44,2902,41770
BLOG002,validation,0.65,44672,145,0.0032353794319119975,3003,101,44,2902,41770
BLOG002,validation,0.66,44672,145,0.0032353794319119975,3003,101,44,2902,41770
BLOG002,validation,0.67,44672,145,0.0032353794319119975,3003,101,44,2902,41770
BLOG002,validation,0.68,44672,145,0.0032353794319119975,3003,101,44,2902,41770
BLOG002,validation,0.69,44672,145,0.0032353794319119975,3003,101,44,2902,41770
BLOG002,validation,0.7,44672,145,0.0032353794319119975,3003,101,44,2902,41770
BLOG002,validation,0.71,44672,145,0.0032353794319119975,3003,101,44,2902,41770
BLOG002,validation,0.72,44743,74,0.0016511591583550885,3003,56,18,2947,41796
BLOG002,validation,0.73,44743,74,0.0016511591583550885,3003,56,18,2947,41796
BLOG002,validation,0.74,44743,74,0.0016511591583550885,3003,56,18,2947,41796
BLOG002,validation,0.75,44743,74,0.0016511591583550885,3003,56,18,2947,41796
BLOG002,validation,0.76,44743,74,0.0016511591583550885,3003,56,18,2947,41796
BLOG002,validation,0.77,44743,74,0.0016511591583550885,3003,56,18,2947,41796
BLOG002,validation,0.78,44817,0,0.0,3003,0,0,3003,41814
BLOG002,validation,0.79,44817,0,0.0,3003,0,0,3003,41814
BLOG002,validation,0.8,44817,0,0.0,3003,0,0,3003,41814
BLOG002,validation,0.81,44817,0,0.0,3003,0,0,3003,41814
BLOG002,validation,0.82,44817,0,0.0,3003,0,0,3003,41814
BLOG002,validation,0.83,44817,0,0.0,3003,0,0,3003,41814
BLOG002,validation,0.84,44817,0,0.0,3003,0,0,3003,41814
BLOG002,validation,0.85,44817,0,0.0,3003,0,0,3003,41814
BLOG002,validation,0.86,44817,0,0.0,3003,0,0,3003,41814
BLOG002,validation,0.87,44817,0,0.0,3003,0,0,3003,41814
BLOG002,validation,0.88,44817,0,0.0,3003,0,0,3003,41814
BLOG002,validation,0.89,44817,0,0.0,3003,0,0,3003,41814
BLOG002,validation,0.9,44817,0,0.0,3003,0,0,3003,41814
BLOG002,validation,0.91,44817,0,0.0,3003,0,0,3003,41814
BLOG002,validation,0.92,44817,0,0.0,3003,0,0,3003,41814
BLOG002,validation,0.93,44817,0,0.0,3003,0,0,3003,41814
BLOG002,validation,0.94,44817,0,0.0,3003,0,0,3003,41814
BLOG002,validation,0.95,44817,0,0.0,3003,0,0,3003,41814
BLOG002,validation,0.96,44817,0,0.0,3003,0,0,3003,41814
BLOG002,validation,0.97,44817,0,0.0,3003,0,0,3003,41814
