model_id,split,count,mean,std,min,max,p01,p05,p25,p50,p75,p95,p99
BLOG001,train,104573,0.06699626098514913,0.07464371006694297,0.0140094940372817,0.3627746660922017,0.0140094940372817,0.0140094940372817,0.0221018418201516,0.0347959969207082,0.1048278713946035,0.184598776538323,0.3627746660922017
BLOG001,validation,44817,0.06716359258703697,0.07489743163353992,0.0140094940372817,0.3627746660922017,0.0140094940372817,0.0140094940372817,0.0140094940372817,0.0347959969207082,0.1048278713946035,0.184598776538323,0.3627746660922017
BLOG002,train,104573,0.06699626098514909,0.10440770771370922,0.0133531493778671,0.7795412609570519,0.0133531493778671,0.0133531493778671,0.0206886082839079,0.031541492355901,0.0856711535822705,0.2221058587952178,0.6109292099186522
BLOG002,validation,44817,0.0672016159593133,0.10449599378028389,0.0133531493778671,0.7795412609570519,0.0133531493778671,0.0133531493778671,0.0206886082839079,0.031541492355901,0.0856711535822705,0.2221058587952178,0.6109292099186522
BLOG003,train,104573,0.06699626098514908,0.11244737953559314,0.0119841202090803,0.8689601267021568,0.0119841202090803,0.0119841202090803,0.0179221596504773,0.0256193382592646,0.0633218366594874,0.2858983449525352,0.6565457594772441
BLOG003,validation,44817,0.06728958689305113,0.1130946544388674,0.0119841202090803,0.8689601267021568,0.0119841202090803,0.0119841202090803,0.0179221596504773,0.0256193382592646,0.0633218366594874,0.28933509958542375,0.6610036363381432
BLOG004,train,104573,0.06699626098514909,0.115996482726968,0.0118636747292065,0.910621754375722,0.0118636747292065,0.0118636747292065,0.0177327175179894,0.0251241132045973,0.0606939441205227,0.2518608864990668,0.6753594182921833
BLOG004,validation,44817,0.06732759725408245,0.11703422705348675,0.0118636747292065,0.910621754375722,0.0118636747292065,0.0118636747292065,0.0177327175179894,0.0251241132045973,0.0637145098529086,0.2518608864990668,0.6929142798071325
BLOG005,train,104573,0.06699626098514909,0.11659770775142034,0.0090336928028422,0.9201844113180492,0.0090336928028422,0.0090336928028422,0.0148418821326844,0.0262846838554488,0.0663223771071728,0.2763028729168881,0.675673911645979
BLOG005,validation,44817,0.06722307018743959,0.11730092496726137,0.0090336928028422,0.9201844113180492,0.0090336928028422,0.0090336928028422,0.0148418821326844,0.0262846838554488,0.0663223771071728,0.2796538254141835,0.6885186273432798
