split,score_col_1,score_col_2,correlation
train,BLOG002,CAT003,0.8711520863861686
train,BLOG002,CAT004,0.873968942238413
train,BLOG002,EASTACK001,0.8477851200671445
train,BLOG002,ET001,0.8037206733439052
train,BLOG002,ET002,0.8352833151973066
train,BLOG002,ET003,0.8510825498617468
train,BLOG002,ET004,0.762971585208096
train,BLOG002,ET005,0.6986969075570129
train,BLOG002,GB001,0.8709634707700243
train,BLOG002,GB002,0.8627043211786751
train,BLOG002,GB003,0.8699170817644327
train,BLOG002,GB004,0.8724831144346624
train,BLOG002,GNB001,0.5505210945660288
train,BLOG002,GNB007,0.6284965185487419
train,BLOG002,GNB008,0.6873568984292588
train,BLOG002,GNB009,0.5671939605968259
train,BLOG002,GNB010,0.529762276026071
train,BLOG002,LASSOSTACK001,0.8149282666265436
train,BLOG002,LGB001,0.860365778295027
train,BLOG002,LGB002,0.8478906989596537
train,BLOG002,LGB003,0.8614798905986981
train,BLOG002,LGB004,0.8645736470590005
train,BLOG002,LRSTACK001,0.807603130654298
train,BLOG002,NN001,0.8562221301211883
train,BLOG002,NN002,0.8398553339755207
train,BLOG002,NN003,0.8545350757361616
train,BLOG002,NN004,0.8584871807453821
train,BLOG002,NN005,0.8475795423525584
train,BLOG002,NN006,0.8525417079368519
train,BLOG002,NN007,0.8508067401781775
train,BLOG002,NN008,0.8616641778179264
train,BLOG002,NN009,0.8438697276253458
train,BLOG002,NN010,0.8281553498299793
train,BLOG002,NN011,0.8388745610138558
train,BLOG002,NN012,0.8339159691347606
train,BLOG002,NN013,0.838793158872974
train,BLOG002,NN014,0.8723399618367637
train,BLOG002,NN015,0.8676645857528167
train,BLOG002,NN016,0.860744169609351
train,BLOG002,NN017,0.8650684648316693
train,BLOG002,NN018,0.8505547326441643
train,BLOG002,NN019,0.8613868411786508
train,BLOG002,NNSTACK001,0.8214237463453229
train,BLOG002,RASTACK001,0.6122193427115304
train,BLOG002,RF001,0.9068518892814905
train,BLOG002,RF002,0.899168012556564
train,BLOG002,RF003,0.8880126433431814
train,BLOG002,RF004,0.89991250260262
train,BLOG002,RF005,0.7302225293481907
train,BLOG002,RFSTACK001,0.8728130768430035
train,BLOG002,RIDGESTACK001,0.8445124431296808
train,BLOG002,RLOG001,0.741683957942837
train,BLOG002,RLOG002,0.7661635111043842
train,BLOG002,RLOG003,0.7669830822885467
train,BLOG002,RLOG004,0.7670706720466806
train,BLOG002,RLOG005,0.7461508677803627
train,BLOG002,RLOG006,0.7645927273514791
train,BLOG002,RLOG007,0.7668638538054013
train,BLOG002,RLOG008,0.7670504085352798
train,BLOG002,T001,0.8968793013293915
train,BLOG002,T002,0.8735747621782648
train,BLOG002,T003,0.8631727800534277
train,BLOG002,T004,0.8673531611377407
train,BLOG002,T005,0.8620600529501455
train,BLOG002,T006,0.7177758684239357
train,BLOG002,T007,0.7099791151790454
train,BLOG002,WASTACK001,0.84546867137175
train,BLOG002,WASTACK002,0.8447260579877259
train,BLOG002,WASTACK003,0.8866543475327665
train,BLOG002,WASTACK004,0.8649661945891391
train,BLOG002,WGNB001,0.6796175613668827
train,BLOG002,WGNB002,0.6796175589138808
train,BLOG002,WGNB003,0.6796175589359773
train,BLOG002,WGNB004,0.6796175591569706
train,BLOG002,WGNB005,0.6796175613668827
train,BLOG002,WGNB006,0.6796175834659876
train,BLOG002,WGNB007,0.6796178044581624
train,BLOG002,WGNB008,0.6796200144973168
train,BLOG002,WGNB009,0.6796421285942195
train,BLOG002,WGNB010,0.6798662619453031
train,BLOG002,WGNB011,0.7699132976798991
train,BLOG002,WGNB012,0.6810638640352147
train,BLOG002,WGNB013,0.6790726965602399
train,BLOG002,WGNB014,0.6796184394539689
train,BLOG002,WLOG001,0.7147020401688947
train,BLOG002,WLOG002,0.9986046502084378
train,BLOG002,WLOG003,0.9231595966933414
train,BLOG002,WLOG004,0.8959205865068084
train,BLOG002,WLOG005,0.8913155415114804
train,BLOG002,XGB001,0.8669375292043519
train,BLOG002,XGB002,0.8677451059554506
train,BLOG002,XGB003,0.8801813503327154
train,BLOG002,XGB004,0.8816559340152317
train,BLOG002,XGBSTACK001,0.8566104086013581
train,BLOG003,BLOG001,0.6638101339063756
train,BLOG003,BLOG002,0.9235026426563355
train,BLOG003,BLOG003,1.0
train,BLOG003,BLOG004,0.9690241637214523
train,BLOG003,BLOG005,0.962890491988717
train,BLOG003,BNB001,0.8344702610249444
train,BLOG003,BNB002,0.7379621139205808
train,BLOG003,BNB003,0.8344704982440397
train,BLOG003,BNB004,0.7379646241399476
train,BLOG003,BNB005,0.8344707947715817
train,BLOG003,BNB006,0.737967761991071
train,BLOG003,BNB007,0.8344716843794074
train,BLOG003,BNB008,0.7379771760570808
train,BLOG003,BNB009,0.8344731671472313
train,BLOG003,BNB010,0.7379928678738772
train,BLOG003,BNB011,0.8344761330440715
train,BLOG003,BNB012,0.7380242578939095
train,BLOG003,BNB013,0.8344820665170755
train,BLOG003,BNB014,0.7380870633681228
train,BLOG003,BNB015,0.834499885005036
train,BLOG003,BNB016,0.7382756808645504
train,BLOG003,BNB017,0.8345296711941577
train,BLOG003,BNB018,0.7385906963671556
train,BLOG003,CAT001,0.9262801951790993
train,BLOG003,CAT002,0.9207341150075751
train,BLOG003,CAT003,0.9280215682255754
train,BLOG003,CAT004,0.9299559865366042
train,BLOG003,EASTACK001,0.9059625181117674
train,BLOG003,ET001,0.8124263418736717
train,BLOG003,ET002,0.8486994347170331
train,BLOG003,ET003,0.8719468682792925
train,BLOG003,ET004,0.7428419427653757
train,BLOG003,ET005,0.6928368318944117
train,BLOG003,GB001,0.9245785441817251
train,BLOG003,GB002,0.9163410172756147
train,BLOG003,GB003,0.9242236873119978
train,BLOG003,GB004,0.9266694132365368
train,BLOG003,GNB001,0.5420582158629902
train,BLOG003,GNB007,0.6176830549758299
train,BLOG003,GNB008,0.6736077093919709
train,BLOG003,GNB009,0.5615265989739885
train,BLOG003,GNB010,0.5181616160582762
train,BLOG003,LASSOSTACK001,0.8700304208458672
train,BLOG003,LGB001,0.914358261811608
train,BLOG003,LGB002,0.8999891292212132
train,BLOG003,LGB003,0.9151020496445802
train,BLOG003,LGB004,0.9182781616016487
train,BLOG003,LRSTACK001,0.8647484426915969
train,BLOG003,NN001,0.9192906874147698
train,BLOG003,NN002,0.9107599148694469
train,BLOG003,NN003,0.9089516781798147
train,BLOG003,NN004,0.9178981925150648
train,BLOG003,NN005,0.8995747339479941
train,BLOG003,NN006,0.915683939973044
train,BLOG003,NN007,0.9050931708558997
train,BLOG003,NN008,0.9049176883532232
train,BLOG003,NN009,0.8996121231637688
train,BLOG003,NN010,0.8939920479511071
train,BLOG003,NN011,0.9105653031067026
train,BLOG003,NN012,0.9115862881775744
train,BLOG003,NN013,0.9084627227342988
train,BLOG003,NN014,0.9253868326071634
train,BLOG003,NN015,0.9270728468586557
train,BLOG003,NN016,0.9254720163525173
train,BLOG003,NN017,0.9201262926620101
train,BLOG003,NN018,0.9108681399374642
train,BLOG003,NN019,0.9145115637929071
train,BLOG003,NNSTACK001,0.8751193878321705
train,BLOG003,RASTACK001,0.6153098509670957
train,BLOG003,RF001,0.9294138708763284
train,BLOG003,RF002,0.9327272578907123
train,BLOG003,RF003,0.9261020791722794
train,BLOG003,RF004,0.9296027413423821
train,BLOG003,RF005,0.7599110780549225
train,BLOG003,RFSTACK001,0.9316064024498112
train,BLOG003,RIDGESTACK001,0.905686261818195
train,BLOG003,RLOG001,0.7602642962527866
train,BLOG003,RLOG002,0.8012580888146159
train,BLOG003,RLOG003,0.8036798645067311
train,BLOG003,RLOG004,0.8039295518470313
train,BLOG003,RLOG005,0.7634323088217628
train,BLOG003,RLOG006,0.7987208258771252
train,BLOG003,RLOG007,0.8034529891394736
train,BLOG003,RLOG008,0.803900994326511
train,BLOG003,T001,0.8670856313369042
train,BLOG003,T002,0.9141705005625873
train,BLOG003,T003,0.911163658480705
train,BLOG003,T004,0.9153905686385319
train,BLOG003,T005,0.9117102324658044
train,BLOG003,T006,0.7525384868799635
train,BLOG003,T007,0.7420188917808821
train,BLOG003,WASTACK001,0.9045052195720868
train,BLOG003,WASTACK002,0.9038334881648592
train,BLOG003,WASTACK003,0.9435035117492612
train,BLOG003,WASTACK004,0.9207341150075751
train,BLOG003,WGNB001,0.7346312174980795
train,BLOG003,WGNB002,0.7346312159314198
train,BLOG003,WGNB003,0.7346312159455366
train,BLOG003,WGNB004,0.7346312160866909
train,BLOG003,WGNB005,0.7346312174980795
train,BLOG003,WGNB006,0.7346312316121842
train,BLOG003,WGNB007,0.734631372756897
train,BLOG003,WGNB008,0.7346327845817695
train,BLOG003,WGNB009,0.7346469409403491
train,BLOG003,WGNB010,0.7347923615718562
train,BLOG003,WGNB011,0.8385385775904975
train,BLOG003,WGNB012,0.7306952922651366
train,BLOG003,WGNB013,0.7330905511167075
train,BLOG003,WGNB014,0.7338523685817031
train,BLOG003,WLOG001,0.6636028515784653
train,BLOG003,WLOG002,0.9218719307821898
train,BLOG003,WLOG003,0.9987176637668049
train,BLOG003,WLOG004,0.9703128546579056
train,BLOG003,WLOG005,0.9644868661700144
train,BLOG003,XGB001,0.9231761148791773
train,BLOG003,XGB002,0.9224883712588644
train,BLOG003,XGB003,0.9383953824899707
train,BLOG003,XGB004,0.9404765401272994
train,BLOG003,XGBSTACK001,0.9115999732950845
train,BLOG004,BLOG001,0.6434997709597747
train,BLOG004,BLOG002,0.8947669301763973
train,BLOG004,BLOG003,0.9690241637214523
train,BLOG004,BLOG004,1.0
train,BLOG004,BLOG005,0.9934560893395689
train,BLOG004,BNB001,0.8672826998954912
train,BLOG004,BNB002,0.7419619063590358
train,BLOG004,BNB003,0.8672838646274348
train,BLOG004,BNB004,0.7419649150235529
train,BLOG004,BNB005,0.8672853206103639
train,BLOG004,BNB006,0.7419686760032853
train,BLOG004,BNB007,0.8672896890128647
train,BLOG004,BNB008,0.7419799599358168
train,BLOG004,BNB009,0.8672969711989964
train,BLOG004,BNB010,0.7419987697978452
train,BLOG004,BNB011,0.8673115412745448
train,BLOG004,BNB012,0.7420364019006436
train,BLOG004,BNB013,0.867340704398668
train,BLOG004,BNB014,0.742111715421446
train,BLOG004,BNB015,0.8674283806776595
train,BLOG004,BNB016,0.742338046324437
train,BLOG004,BNB017,0.8675751496029136
train,BLOG004,BNB018,0.7427165369482716
train,BLOG004,CAT001,0.9495972230583494
train,BLOG004,CAT002,0.9435525328232256
train,BLOG004,CAT003,0.9518582790106696
train,BLOG004,CAT004,0.9537963288615524
train,BLOG004,EASTACK001,0.923606697799799
train,BLOG004,ET001,0.8107640814811952
