reference_risk_band,comparison_risk_band,applicant_count,reference_model,comparison_model,split,applicant_pct
High Risk,Low Risk,8,CAT004,NN010,validation,0.0001785036927951447
High Risk,Medium Risk,1768,CAT004,NN010,validation,0.03944931610772698
High Risk,Very High Risk,1326,CAT004,NN010,validation,0.029586987080795234
Low Risk,High Risk,179,CAT004,NN010,validation,0.003994020126291363
Low Risk,Low Risk,6709,CAT004,NN010,validation,0.14969765937032822
Low Risk,Medium Risk,2073,CAT004,NN010,validation,0.04625476939554187
Low Risk,Very High Risk,2,CAT004,NN010,validation,4.4625923198786177e-05
Medium Risk,High Risk,1571,CAT004,NN010,validation,0.03505366267264654
Medium Risk,Low Risk,2246,CAT004,NN010,validation,0.050114911752236875
Medium Risk,Medium Risk,9601,CAT004,NN010,validation,0.21422674431577304
Medium Risk,Very High Risk,27,CAT004,NN010,validation,0.0006024499631836134
Very High Risk,Extreme Risk,271,CAT004,NN010,validation,0.006046812593435527
Very High Risk,High Risk,1355,CAT004,NN010,validation,0.030234062967177632
Very High Risk,Medium Risk,2,CAT004,NN010,validation,4.4625923198786177e-05
Very High Risk,Very High Risk,6439,CAT004,NN010,validation,0.1436731597384921
Extreme Risk,Extreme Risk,1922,CAT004,NN011,validation,0.04288551219403351
Extreme Risk,High Risk,5,CAT004,NN011,validation,0.00011156480799696544
Extreme Risk,Low Risk,2,CAT004,NN011,validation,4.4625923198786177e-05
Extreme Risk,Very High Risk,312,CAT004,NN011,validation,0.006961644019010643
High Risk,High Risk,9581,CAT004,NN011,validation,0.21378048508378517
High Risk,Low Risk,126,CAT004,NN011,validation,0.002811433161523529
High Risk,Medium Risk,1353,CAT004,NN011,validation,0.030189437043978848
High Risk,Very High Risk,1041,CAT004,NN011,validation,0.023227793024968205
Low Risk,High Risk,17,CAT004,NN011,validation,0.0003793203471896825
Low Risk,Low Risk,6637,CAT004,NN011,validation,0.14809112613517192
Low Risk,Medium Risk,2309,CAT004,NN011,validation,0.05152062833299864
Medium Risk,High Risk,1509,CAT004,NN011,validation,0.03367025905348417
Medium Risk,Low Risk,2193,CAT004,NN011,validation,0.04893232478746904
Medium Risk,Medium Risk,9743,CAT004,NN011,validation,0.21739518486288686
Very High Risk,Extreme Risk,319,CAT004,NN011,validation,0.007117834750206395
Very High Risk,High Risk,989,CAT004,NN011,validation,0.022067519021799764
Very High Risk,Low Risk,5,CAT004,NN011,validation,0.00011156480799696544
Very High Risk,Medium Risk,40,CAT004,NN011,validation,0.0008925184639757235
Very High Risk,Very High Risk,6714,CAT004,NN011,validation,0.14980922417832518
Extreme Risk,Extreme Risk,1899,CAT004,NN012,validation,0.042372314077247474
Extreme Risk,High Risk,2,CAT004,NN012,validation,4.4625923198786177e-05
Extreme Risk,Low Risk,2,CAT004,NN012,validation,4.4625923198786177e-05
Extreme Risk,Medium Risk,2,CAT004,NN012,validation,4.4625923198786177e-05
Extreme Risk,Very High Risk,336,CAT004,NN012,validation,0.0074971550973960775
High Risk,High Risk,9720,CAT004,NN012,validation,0.21688198674610082
High Risk,Low Risk,26,CAT004,NN012,validation,0.0005801370015842203
High Risk,Medium Risk,1351,CAT004,NN012,validation,0.03014481112078006
High Risk,Very High Risk,1004,CAT004,NN012,validation,0.02240221344579066
Low Risk,High Risk,15,CAT004,NN012,validation,0.00033469442399089634
Low Risk,Low Risk,7623,CAT004,NN012,validation,0.17009170627217352
Low Risk,Medium Risk,1325,CAT004,NN012,validation,0.02956467411919584
Medium Risk,High Risk,1395,CAT004,NN012,validation,0.031126581431153356
Medium Risk,Low Risk,1310,CAT004,NN012,validation,0.029229979695204945
Medium Risk,Medium Risk,10740,CAT004,NN012,validation,0.23964120757748175
Very High Risk,Extreme Risk,342,CAT004,NN012,validation,0.007631032866992436
Very High Risk,High Risk,969,CAT004,NN012,validation,0.0216212597898119
Very High Risk,Low Risk,2,CAT004,NN012,validation,4.4625923198786177e-05
Very High Risk,Medium Risk,27,CAT004,NN012,validation,0.0006024499631836134
Very High Risk,Very High Risk,6727,CAT004,NN012,validation,0.15009929267911729
Extreme Risk,Extreme Risk,1949,CAT004,NN013,validation,0.043487962157217126
Extreme Risk,High Risk,4,CAT004,NN013,validation,8.925184639757235e-05
Extreme Risk,Low Risk,1,CAT004,NN013,validation,2.2312961599393088e-05
Extreme Risk,Very High Risk,287,CAT004,NN013,validation,0.006403819979025816
High Risk,High Risk,9945,CAT004,NN013,validation,0.22190240310596426
High Risk,Low Risk,15,CAT004,NN013,validation,0.00033469442399089634
High Risk,Medium Risk,1194,CAT004,NN013,validation,0.026641676149675348
High Risk,Very High Risk,947,CAT004,NN013,validation,0.021130374634625256
Low Risk,High Risk,16,CAT004,NN013,validation,0.0003570073855902894
Low Risk,Low Risk,7240,CAT004,NN013,validation,0.16154584197960595
Low Risk,Medium Risk,1707,CAT004,NN013,validation,0.038088225450164
Medium Risk,High Risk,1209,CAT004,NN013,validation,0.026976370573666242
Medium Risk,Low Risk,1706,CAT004,NN013,validation,0.038065912488564606
Medium Risk,Medium Risk,10530,CAT004,NN013,validation,0.2349554856416092
Very High Risk,Extreme Risk,292,CAT004,NN013,validation,0.006515384787022782
Very High Risk,High Risk,927,CAT004,NN013,validation,0.02068411540263739
Very High Risk,Low Risk,1,CAT004,NN013,validation,2.2312961599393088e-05
Very High Risk,Medium Risk,14,CAT004,NN013,validation,0.0003123814623915032
Very High Risk,Very High Risk,6833,CAT004,NN013,validation,0.15246446660865295
Extreme Risk,Extreme Risk,1976,CAT004,NN014,validation,0.04409041212040074
Extreme Risk,Very High Risk,265,CAT004,NN014,validation,0.005912934823839168
High Risk,High Risk,9509,CAT004,NN014,validation,0.21217395184862886
High Risk,Low Risk,82,CAT004,NN014,validation,0.001829662851150233
High Risk,Medium Risk,1532,CAT004,NN014,validation,0.03418345717027021
High Risk,Very High Risk,978,CAT004,NN014,validation,0.02182207644420644
Low Risk,Low Risk,7410,CAT004,NN014,validation,0.16533904545150277
Low Risk,Medium Risk,1553,CAT004,NN014,validation,0.034652029363857466
Medium Risk,High Risk,1660,CAT004,NN014,validation,0.03703951625499253
Medium Risk,Low Risk,1471,CAT004,NN014,validation,0.03282236651270723
Medium Risk,Medium Risk,10314,CAT004,NN014,validation,0.23013588593614032
Very High Risk,Extreme Risk,265,CAT004,NN014,validation,0.005912934823839168
Very High Risk,High Risk,936,CAT004,NN014,validation,0.02088493205703193
Very High Risk,Medium Risk,46,CAT004,NN014,validation,0.001026396233572082
Very High Risk,Very High Risk,6820,CAT004,NN014,validation,0.15217439810786085
Extreme Risk,Extreme Risk,1984,CAT004,NN015,validation,0.044268915813195885
Extreme Risk,Very High Risk,257,CAT004,NN015,validation,0.005734431131044024
High Risk,High Risk,9692,CAT004,NN015,validation,0.2162572238213178
High Risk,Low Risk,83,CAT004,NN015,validation,0.0018519758127496263
High Risk,Medium Risk,1360,CAT004,NN015,validation,0.030345627775174598
High Risk,Very High Risk,966,CAT004,NN015,validation,0.021554320905013722
Low Risk,Low Risk,7419,CAT004,NN015,validation,0.16553986210589733
Low Risk,Medium Risk,1544,CAT004,NN015,validation,0.03445121270946293
Medium Risk,High Risk,1487,CAT004,NN015,validation,0.03317937389829752
Medium Risk,Low Risk,1461,CAT004,NN015,validation,0.0325992368967133
Medium Risk,Medium Risk,10497,CAT004,NN015,validation,0.23421915790882925
Very High Risk,Extreme Risk,257,CAT004,NN015,validation,0.005734431131044024
Very High Risk,High Risk,922,CAT004,NN015,validation,0.020572550594640426
Very High Risk,Medium Risk,44,CAT004,NN015,validation,0.000981770310373296
Very High Risk,Very High Risk,6844,CAT004,NN015,validation,0.1527099091862463
Extreme Risk,Extreme Risk,1971,CAT004,NN016,validation,0.04397884731240378
Extreme Risk,High Risk,1,CAT004,NN016,validation,2.2312961599393088e-05
Extreme Risk,Very High Risk,269,CAT004,NN016,validation,0.006002186670236741
High Risk,High Risk,9798,CAT004,NN016,validation,0.21862239775085346
High Risk,Low Risk,31,CAT004,NN016,validation,0.0006917018095811857
High Risk,Medium Risk,1254,CAT004,NN016,validation,0.027980453845638933
High Risk,Very High Risk,1018,CAT004,NN016,validation,0.022714594908182163
Low Risk,High Risk,5,CAT004,NN016,validation,0.00011156480799696544
Low Risk,Low Risk,7416,CAT004,NN016,validation,0.16547292322109913
Low Risk,Medium Risk,1542,CAT004,NN016,validation,0.03440658678626414
Medium Risk,High Risk,1303,CAT004,NN016,validation,0.02907378896400919
Medium Risk,Low Risk,1516,CAT004,NN016,validation,0.03382644978467992
Medium Risk,Medium Risk,10626,CAT004,NN016,validation,0.23709752995515096
Very High Risk,Extreme Risk,270,CAT004,NN016,validation,0.006024499631836134
Very High Risk,High Risk,994,CAT004,NN016,validation,0.02217908382979673
Very High Risk,Medium Risk,23,CAT004,NN016,validation,0.000513198116786041
Very High Risk,Very High Risk,6780,CAT004,NN016,validation,0.15128187964388512
Extreme Risk,Extreme Risk,1986,CAT004,NN017,validation,0.04431354173639467
Extreme Risk,Very High Risk,255,CAT004,NN017,validation,0.005689805207845238
High Risk,High Risk,9432,CAT004,NN017,validation,0.2104558538054756
High Risk,Low Risk,60,CAT004,NN017,validation,0.0013387776959635854
High Risk,Medium Risk,1619,CAT004,NN017,validation,0.03612468482941741
High Risk,Very High Risk,990,CAT004,NN017,validation,0.022089831983399158
Low Risk,High Risk,3,CAT004,NN017,validation,6.693888479817926e-05
Low Risk,Low Risk,6748,CAT004,NN017,validation,0.15056786487270454
Low Risk,Medium Risk,2212,CAT004,NN017,validation,0.04935627105785751
Medium Risk,High Risk,1699,CAT004,NN017,validation,0.037909721757368856
Medium Risk,Low Risk,2155,CAT004,NN017,validation,0.0480844322466921
Medium Risk,Medium Risk,9591,CAT004,NN017,validation,0.2140036146997791
Very High Risk,Extreme Risk,255,CAT004,NN017,validation,0.005689805207845238
Very High Risk,High Risk,969,CAT004,NN017,validation,0.0216212597898119
Very High Risk,Medium Risk,23,CAT004,NN017,validation,0.000513198116786041
Very High Risk,Very High Risk,6820,CAT004,NN017,validation,0.15217439810786085
Extreme Risk,Extreme Risk,1981,CAT004,NN018,validation,0.0442019769283977
Extreme Risk,Very High Risk,260,CAT004,NN018,validation,0.005801370015842203
High Risk,High Risk,9889,CAT004,NN018,validation,0.22065287725639823
High Risk,Low Risk,8,CAT004,NN018,validation,0.0001785036927951447
High Risk,Medium Risk,1296,CAT004,NN018,validation,0.02891759823281344
High Risk,Very High Risk,908,CAT004,NN018,validation,0.020260169132248925
Low Risk,High Risk,4,CAT004,NN018,validation,8.925184639757235e-05
Low Risk,Low Risk,7452,CAT004,NN018,validation,0.16627618983867729
Low Risk,Medium Risk,1507,CAT004,NN018,validation,0.03362563313028538
Medium Risk,High Risk,1299,CAT004,NN018,validation,0.02898453711761162
Medium Risk,Low Risk,1503,CAT004,NN018,validation,0.03353638128388781
Medium Risk,Medium Risk,10642,CAT004,NN018,validation,0.23745453734074123
Medium Risk,Very High Risk,1,CAT004,NN018,validation,2.2312961599393088e-05
Very High Risk,Extreme Risk,260,CAT004,NN018,validation,0.005801370015842203
Very High Risk,High Risk,909,CAT004,NN018,validation,0.020282482093848316
Very High Risk,Very High Risk,6898,CAT004,NN018,validation,0.15391480911261352
Extreme Risk,Extreme Risk,2006,CAT004,NN019,validation,0.044759800968382536
Extreme Risk,Very High Risk,235,CAT004,NN019,validation,0.0052435459758573754
High Risk,High Risk,10131,CAT004,NN019,validation,0.22605261396345136
High Risk,Low Risk,5,CAT004,NN019,validation,0.00011156480799696544
High Risk,Medium Risk,1085,CAT004,NN019,validation,0.0242095633353415
High Risk,Very High Risk,880,CAT004,NN019,validation,0.019635406207465917
Low Risk,Low Risk,7238,CAT004,NN019,validation,0.16150121605640716
Low Risk,Medium Risk,1725,CAT004,NN019,validation,0.038489858758953076
Medium Risk,High Risk,1090,CAT004,NN019,validation,0.024321128143338467
Medium Risk,Low Risk,1720,CAT004,NN019,validation,0.03837829395095611
Medium Risk,Medium Risk,10635,CAT004,NN019,validation,0.2372983466095455
Very High Risk,Extreme Risk,235,CAT004,NN019,validation,0.0052435459758573754
Very High Risk,High Risk,880,CAT004,NN019,validation,0.019635406207465917
Very High Risk,Very High Risk,6952,CAT004,NN019,validation,0.15511970903898076
Extreme Risk,Extreme Risk,1939,CAT004,NNSTACK001,validation,0.043264832541223194
Extreme Risk,Very High Risk,302,CAT004,NNSTACK001,validation,0.006738514403016712
High Risk,High Risk,10259,CAT004,NNSTACK001,validation,0.2289086730481737
High Risk,Low Risk,37,CAT004,NNSTACK001,validation,0.0008255795791775443
High Risk,Medium Risk,1020,CAT004,NNSTACK001,validation,0.02275922083138095
High Risk,Very High Risk,785,CAT004,NNSTACK001,validation,0.017515674855523574
Low Risk,Low Risk,8065,CAT004,NNSTACK001,validation,0.17995403529910525
Low Risk,Medium Risk,898,CAT004,NNSTACK001,validation,0.020037039516254993
Medium Risk,High Risk,1059,CAT004,NNSTACK001,validation,0.02362942633375728
Medium Risk,Low Risk,861,CAT004,NNSTACK001,validation,0.019211459937077447
Medium Risk,Medium Risk,11525,CAT004,NNSTACK001,validation,0.25715688243300533
Very High Risk,Extreme Risk,302,CAT004,NNSTACK001,validation,0.006738514403016712
Very High Risk,High Risk,783,CAT004,NNSTACK001,validation,0.017471048932324786
Very High Risk,Medium Risk,2,CAT004,NNSTACK001,validation,4.4625923198786177e-05
Very High Risk,Very High Risk,6980,CAT004,NNSTACK001,validation,0.15574447196376376
Extreme Risk,Extreme Risk,1839,CAT004,RASTACK001,validation,0.04103353638128389
Extreme Risk,High Risk,9,CAT004,RASTACK001,validation,0.00020081665439453778
Extreme Risk,Very High Risk,393,CAT004,RASTACK001,validation,0.008768993908561484
High Risk,High Risk,9769,CAT004,RASTACK001,validation,0.21797532186447108
High Risk,Low Risk,12,CAT004,RASTACK001,validation,0.00026775553919271706
High Risk,Medium Risk,1270,CAT004,RASTACK001,validation,0.02833746123122922
High Risk,Very High Risk,1050,CAT004,RASTACK001,validation,0.023428609679362743
Low Risk,Low Risk,7782,CAT004,RASTACK001,validation,0.17363946716647702
Low Risk,Medium Risk,1181,CAT004,RASTACK001,validation,0.026351607648883238
Medium Risk,High Risk,1283,CAT004,RASTACK001,validation,0.02862752973202133
Medium Risk,Low Risk,1169,CAT004,RASTACK001,validation,0.026083852109690518
Medium Risk,Medium Risk,10993,CAT004,RASTACK001,validation,0.2452863868621282
Very High Risk,Extreme Risk,402,CAT004,RASTACK001,validation,0.008969810562956022
Very High Risk,High Risk,1040,CAT004,RASTACK001,validation,0.02320548006336881
Very High Risk,Medium Risk,1,CAT004,RASTACK001,validation,2.2312961599393088e-05
Very High Risk,Very High Risk,6624,CAT004,RASTACK001,validation,0.1478010576343798
Extreme Risk,Extreme Risk,1925,CAT004,RF001,validation,0.042952451078831694
Extreme Risk,Very High Risk,316,CAT004,RF001,validation,0.007050895865408215
High Risk,High Risk,9952,CAT004,RF001,validation,0.22205859383716
High Risk,Low Risk,4,CAT004,RF001,validation,8.925184639757235e-05
High Risk,Medium Risk,941,CAT004,RF001,validation,0.020996496865028896
High Risk,Very High Risk,1204,CAT004,RF001,validation,0.026864805765669277
Low Risk,Low Risk,8113,CAT004,RF001,validation,0.18102505745587613
Low Risk,Medium Risk,850,CAT004,RF001,validation,0.018966017359484125
Medium Risk,High Risk,945,CAT004,RF001,validation,0.021085748711426468
Medium Risk,Low Risk,846,CAT004,RF001,validation,0.018876765513086553
Medium Risk,Medium Risk,11654,CAT004,RF001,validation,0.260035254479327
Very High Risk,Extreme Risk,316,CAT004,RF001,validation,0.007050895865408215
Very High Risk,High Risk,1204,CAT004,RF001,validation,0.026864805765669277
Very High Risk,Very High Risk,6547,CAT004,RF001,validation,0.14608295959122655
Extreme Risk,Extreme Risk,1967,CAT004,RF002,validation,0.0438895954660062
Extreme Risk,Very High Risk,274,CAT004,RF002,validation,0.006113751478233706
High Risk,High Risk,10510,CAT004,RF002,validation,0.23450922640962135
High Risk,Low Risk,4,CAT004,RF002,validation,8.925184639757235e-05
High Risk,Medium Risk,796,CAT004,RF002,validation,0.017761117433116896
High Risk,Very High Risk,791,CAT004,RF002,validation,0.017649552625119934
Low Risk,Low Risk,8167,CAT004,RF002,validation,0.18222995738224335
Low Risk,Medium Risk,796,CAT004,RF002,validation,0.017761117433116896
Medium Risk,High Risk,800,CAT004,RF002,validation,0.01785036927951447
Medium Risk,Low Risk,792,CAT004,RF002,validation,0.017671865586719324
Medium Risk,Medium Risk,11853,CAT004,RF002,validation,0.26447553383760625
Very High Risk,Extreme Risk,274,CAT004,RF002,validation,0.006113751478233706
Very High Risk,High Risk,791,CAT004,RF002,validation,0.017649552625119934
Very High Risk,Very High Risk,7002,CAT004,RF002,validation,0.1562353571189504
Extreme Risk,Extreme Risk,1982,CAT004,RF003,validation,0.0442242898899971
Extreme Risk,Very High Risk,259,CAT004,RF003,validation,0.00577905705424281
High Risk,High Risk,10662,CAT004,RF003,validation,0.2379007965727291
High Risk,Low Risk,3,CAT004,RF003,validation,6.693888479817926e-05
High Risk,Medium Risk,735,CAT004,RF003,validation,0.016400026775553918
High Risk,Very High Risk,701,CAT004,RF003,validation,0.015641386081174553
Low Risk,Low Risk,8019,CAT004,RF003,validation,0.17892763906553316
Low Risk,Medium Risk,944,CAT004,RF003,validation,0.021063435749827074
Medium Risk,High Risk,738,CAT004,RF003,validation,0.0164669656603521
Medium Risk,Low Risk,941,CAT004,RF003,validation,0.020996496865028896
Medium Risk,Medium Risk,11766,CAT004,RF003,validation,0.2625343061784591
Very High Risk,Extreme Risk,259,CAT004,RF003,validation,0.00577905705424281
Very High Risk,High Risk,701,CAT004,RF003,validation,0.015641386081174553
Very High Risk,Very High Risk,7107,CAT004,RF003,validation,0.15857821808688669
Extreme Risk,Extreme Risk,1921,CAT004,RF004,validation,0.04286319923243412
Extreme Risk,Very High Risk,320,CAT004,RF004,validation,0.007140147711805788
High Risk,High Risk,10612,CAT004,RF004,validation,0.23678514849275945
High Risk,Low Risk,4,CAT004,RF004,validation,8.925184639757235e-05
High Risk,Medium Risk,754,CAT004,RF004,validation,0.016823973045942388
High Risk,Very High Risk,731,CAT004,RF004,validation,0.016310774929156346
Low Risk,Low Risk,8169,CAT004,RF004,validation,0.18227458330544213
Low Risk,Medium Risk,794,CAT004,RF004,validation,0.017716491509918112
Medium Risk,High Risk,758,CAT004,RF004,validation,0.01691322489233996
Medium Risk,Low Risk,790,CAT004,RF004,validation,0.01762723966352054
Medium Risk,Medium Risk,11897,CAT004,RF004,validation,0.2654573041479796
Very High Risk,Extreme Risk,320,CAT004,RF004,validation,0.007140147711805788
Very High Risk,High Risk,731,CAT004,RF004,validation,0.016310774929156346
Very High Risk,Very High Risk,7016,CAT004,RF004,validation,0.1565477385813419
Extreme Risk,Extreme Risk,1937,CAT004,RF005,validation,0.043220206618024413
Extreme Risk,Very High Risk,304,CAT004,RF005,validation,0.006783140326215498
High Risk,High Risk,10254,CAT004,RF005,validation,0.2287971082401767
High Risk,Low Risk,4,CAT004,RF005,validation,8.925184639757235e-05
High Risk,Medium Risk,1031,CAT004,RF005,validation,0.023004663408974273
High Risk,Very High Risk,812,CAT004,RF005,validation,0.018118124818707188
Low Risk,Low Risk,8027,CAT004,RF005,validation,0.1791061427583283
Low Risk,Medium Risk,936,CAT004,RF005,validation,0.02088493205703193
Medium Risk,High Risk,1035,CAT004,RF005,validation,0.023093915255371845
Medium Risk,Low Risk,932,CAT004,RF005,validation,0.020795680210634358
Medium Risk,Medium Risk,11478,CAT004,RF005,validation,0.25610817323783386
Very High Risk,Extreme Risk,304,CAT004,RF005,validation,0.006783140326215498
Very High Risk,High Risk,812,CAT004,RF005,validation,0.018118124818707188
Very High Risk,Very High Risk,6951,CAT004,RF005,validation,0.15509739607738135
Extreme Risk,Extreme Risk,2124,CAT004,RFSTACK001,validation,0.04739273043711092
Extreme Risk,Very High Risk,117,CAT004,RFSTACK001,validation,0.002610616507128991
High Risk,High Risk,10619,CAT004,RFSTACK001,validation,0.2369413392239552
High Risk,Medium Risk,1036,CAT004,RFSTACK001,validation,0.02311622821697124
High Risk,Very High Risk,446,CAT004,RFSTACK001,validation,0.009951580873329317
Low Risk,High Risk,2,CAT004,RFSTACK001,validation,4.4625923198786177e-05
Low Risk,Low Risk,8473,CAT004,RFSTACK001,validation,0.18905772363165763
Low Risk,Medium Risk,488,CAT004,RFSTACK001,validation,0.010888725260503827
Medium Risk,High Risk,1034,CAT004,RFSTACK001,validation,0.02307160229377245
Medium Risk,Low Risk,5786,CAT004,RFSTACK001,validation,0.1291027958140884
Medium Risk,Medium Risk,6625,CAT004,RFSTACK001,validation,0.1478233705959792
Very High Risk,Extreme Risk,117,CAT004,RFSTACK001,validation,0.002610616507128991
Very High Risk,High Risk,446,CAT004,RFSTACK001,validation,0.009951580873329317
Very High Risk,Very High Risk,7504,CAT004,RFSTACK001,validation,0.16743646384184574
Extreme Risk,Extreme Risk,2092,CAT004,RIDGESTACK001,validation,0.04667871566593034
Extreme Risk,Very High Risk,149,CAT004,RIDGESTACK001,validation,0.00332463127830957
High Risk,High Risk,9699,CAT004,RIDGESTACK001,validation,0.21641341455251356
High Risk,Low Risk,6,CAT004,RIDGESTACK001,validation,0.00013387776959635853
High Risk,Medium Risk,1420,CAT004,RIDGESTACK001,validation,0.03168440547113818
High Risk,Very High Risk,976,CAT004,RIDGESTACK001,validation,0.021777450521007654
Low Risk,High Risk,3,CAT004,RIDGESTACK001,validation,6.693888479817926e-05
Low Risk,Low Risk,7838,CAT004,RIDGESTACK001,validation,0.17488899301604302
Low Risk,Medium Risk,1122,CAT004,RIDGESTACK001,validation,0.025035142914519044
Medium Risk,High Risk,1423,CAT004,RIDGESTACK001,validation,0.031751344355936365
Medium Risk,Low Risk,1119,CAT004,RIDGESTACK001,validation,0.024968204029720865
Medium Risk,Medium Risk,10903,CAT004,RIDGESTACK001,validation,0.24327822031818283
Very High Risk,Extreme Risk,149,CAT004,RIDGESTACK001,validation,0.00332463127830957
Very High Risk,High Risk,976,CAT004,RIDGESTACK001,validation,0.021777450521007654
Very High Risk,Very High Risk,6942,CAT004,RIDGESTACK001,validation,0.15489657942298682
Extreme Risk,Extreme Risk,1118,CAT004,RLOG001,validation,0.02494589106812147
Extreme Risk,High Risk,219,CAT004,RLOG001,validation,0.004886538590267086
Extreme Risk,Low Risk,14,CAT004,RLOG001,validation,0.0003123814623915032
Extreme Risk,Medium Risk,42,CAT004,RLOG001,validation,0.0009371443871745097
Extreme Risk,Very High Risk,848,CAT004,RLOG001,validation,0.018921391436285337
High Risk,Extreme Risk,15,CAT004,RLOG001,validation,0.00033469442399089634
High Risk,High Risk,7802,CAT004,RLOG001,validation,0.17408572639846487
High Risk,Low Risk,306,CAT004,RLOG001,validation,0.006827766249414285
High Risk,Medium Risk,1599,CAT004,RLOG001,validation,0.03567842559742955
High Risk,Very High Risk,2379,CAT004,RLOG001,validation,0.05308253564495616
Low Risk,Low Risk,7379,CAT004,RLOG001,validation,0.1646473436419216
Low Risk,Medium Risk,1584,CAT004,RLOG001,validation,0.03534373117343865
Medium Risk,High Risk,2498,CAT004,RLOG001,validation,0.055737778075283934
Medium Risk,Low Risk,1152,CAT004,RLOG001,validation,0.025704531762500836
Medium Risk,Medium Risk,9795,CAT004,RLOG001,validation,0.2185554588660553
Very High Risk,Extreme Risk,1108,CAT004,RLOG001,validation,0.02472276145212754
Very High Risk,High Risk,1582,CAT004,RLOG001,validation,0.03529910525023987
Very High Risk,Low Risk,112,CAT004,RLOG001,validation,0.0024990516991320257
Very High Risk,Medium Risk,425,CAT004,RLOG001,validation,0.009483008679742062
Very High Risk,Very High Risk,4840,CAT004,RLOG001,validation,0.10799473414106255
Extreme Risk,Extreme Risk,1213,CAT004,RLOG002,validation,0.027065622420063815
Extreme Risk,High Risk,239,CAT004,RLOG002,validation,0.0053327978222549475
Extreme Risk,Low Risk,23,CAT004,RLOG002,validation,0.000513198116786041
Extreme Risk,Medium Risk,41,CAT004,RLOG002,validation,0.0009148314255751166
Extreme Risk,Very High Risk,725,CAT004,RLOG002,validation,0.01617689715955999
High Risk,Extreme Risk,1,CAT004,RLOG002,validation,2.2312961599393088e-05
High Risk,High Risk,8214,CAT004,RLOG002,validation,0.18327866657741482
High Risk,Low Risk,254,CAT004,RLOG002,validation,0.0056674922462458446
High Risk,Medium Risk,1336,CAT004,RLOG002,validation,0.029810116696789166
High Risk,Very High Risk,2296,CAT004,RLOG002,validation,0.05123055983220653
Low Risk,Low Risk,7480,CAT004,RLOG002,validation,0.1669009527634603
Low Risk,Medium Risk,1483,CAT004,RLOG002,validation,0.03309012205189995
Medium Risk,High Risk,2198,CAT004,RLOG002,validation,0.049043889595466
Medium Risk,Low Risk,1026,CAT004,RLOG002,validation,0.022893098600977307
Medium Risk,Medium Risk,10221,CAT004,RLOG002,validation,0.22806078050739675
Very High Risk,Extreme Risk,1027,CAT004,RLOG002,validation,0.0229154115625767
Very High Risk,High Risk,1450,CAT004,RLOG002,validation,0.03235379431911998
Very High Risk,Low Risk,180,CAT004,RLOG002,validation,0.004016333087890756
Very High Risk,Medium Risk,364,CAT004,RLOG002,validation,0.008121918022179084
Very High Risk,Very High Risk,5046,CAT004,RLOG002,validation,0.11259120423053752
Extreme Risk,Extreme Risk,1214,CAT004,RLOG003,validation,0.02708793538166321
Extreme Risk,High Risk,242,CAT004,RLOG003,validation,0.0053997367070531275
Extreme Risk,Low Risk,23,CAT004,RLOG003,validation,0.000513198116786041
Extreme Risk,Medium Risk,45,CAT004,RLOG003,validation,0.001004083271972689
Extreme Risk,Very High Risk,717,CAT004,RLOG003,validation,0.015998393466764845
High Risk,High Risk,8245,CAT004,RLOG003,validation,0.183970368386996
High Risk,Low Risk,264,CAT004,RLOG003,validation,0.005890621862239775
High Risk,Medium Risk,1297,CAT004,RLOG003,validation,0.028939911194412835
High Risk,Very High Risk,2295,CAT004,RLOG003,validation,0.051208246870607134
Low Risk,Low Risk,7443,CAT004,RLOG003,validation,0.16607537318428275
Low Risk,Medium Risk,1520,CAT004,RLOG003,validation,0.033915701631077495
Medium Risk,High Risk,2177,CAT004,RLOG003,validation,0.04857531740187875
Medium Risk,Low Risk,1046,CAT004,RLOG003,validation,0.02333935783296517
Medium Risk,Medium Risk,10222,CAT004,RLOG003,validation,0.22808309346899613
Very High Risk,Extreme Risk,1027,CAT004,RLOG003,validation,0.0229154115625767
Very High Risk,High Risk,1437,CAT004,RLOG003,validation,0.032063725818327865
Very High Risk,Low Risk,187,CAT004,RLOG003,validation,0.004172523819086507
Very High Risk,Medium Risk,361,CAT004,RLOG003,validation,0.008054979137380904
Very High Risk,Very High Risk,5055,CAT004,RLOG003,validation,0.11279202088493205
Extreme Risk,Extreme Risk,1216,CAT004,RLOG004,validation,0.027132561304861993
Extreme Risk,High Risk,243,CAT004,RLOG004,validation,0.0054220496686525205
Extreme Risk,Low Risk,23,CAT004,RLOG004,validation,0.000513198116786041
Extreme Risk,Medium Risk,45,CAT004,RLOG004,validation,0.001004083271972689
Extreme Risk,Very High Risk,714,CAT004,RLOG004,validation,0.015931454581966664
High Risk,High Risk,8251,CAT004,RLOG004,validation,0.18410424615659238
High Risk,Low Risk,264,CAT004,RLOG004,validation,0.005890621862239775
High Risk,Medium Risk,1291,CAT004,RLOG004,validation,0.028806033424816475
High Risk,Very High Risk,2295,CAT004,RLOG004,validation,0.051208246870607134
Low Risk,Low Risk,7438,CAT004,RLOG004,validation,0.16596380837628577
Low Risk,Medium Risk,1525,CAT004,RLOG004,validation,0.03402726643907446
Medium Risk,High Risk,2172,CAT004,RLOG004,validation,0.04846375259388178
Medium Risk,Low Risk,1048,CAT004,RLOG004,validation,0.023383983756163955
