feature,WLOG005,expected_pct,actual_pct,psi_component,BLOG005,BNB018,NN008,CAT002,XGBSTACK001
WLOG005,"(-inf, 0.0111]",0.11616574067876029,0.11616574067876029,0.0,,,,,
WLOG005,"(0.0111, 0.0146]",0.10797911506794297,0.10797911506794297,0.0,,,,,
WLOG005,"(0.0146, 0.0182]",0.09275721266483701,0.09275721266483701,0.0,,,,,
WLOG005,"(0.0182, 0.0214]",0.09348015262065734,0.09348015262065734,0.0,,,,,
WLOG005,"(0.0214, 0.0279]",0.10274449427672536,0.10274449427672536,0.0,,,,,
WLOG005,"(0.0279, 0.0361]",0.09849387509204097,0.09849387509204097,0.0,,,,,
WLOG005,"(0.0361, 0.052]",0.09817926233348953,0.09817926233348953,0.0,,,,,
WLOG005,"(0.052, 0.0789]",0.0915991699578285,0.0915991699578285,0.0,,,,,
WLOG005,"(0.0789, 0.149]",0.10141241046924158,0.10141241046924158,0.0,,,,,
WLOG005,"(0.149, inf]",0.09718856683847647,0.09718856683847647,0.0,,,,,
BLOG005,,0.11616574067876029,0.11616574067876029,0.0,"(-inf, 0.00925]",,,,
BLOG005,,0.10797911506794297,0.10797911506794297,0.0,"(0.00925, 0.0132]",,,,
BLOG005,,0.08349956489724882,0.08349956489724882,0.0,"(0.0132, 0.0161]",,,,
BLOG005,,0.10544213133409197,0.10544213133409197,0.0,"(0.0161, 0.0209]",,,,
BLOG005,,0.09785126179797844,0.09785126179797844,0.0,"(0.0209, 0.0263]",,,,
BLOG005,,0.10214873820202156,0.10214873820202156,0.0,"(0.0263, 0.0374]",,,,
BLOG005,,0.08701385634915322,0.08701385634915322,0.0,"(0.0374, 0.0548]",,,,
BLOG005,,0.10072963384430016,0.10072963384430016,0.0,"(0.0548, 0.0783]",,,,
BLOG005,,0.1001874288774349,0.1001874288774349,0.0,"(0.0783, 0.146]",,,,
BLOG005,,0.09898252895106767,0.09898252895106767,0.0,"(0.146, inf]",,,,
BNB018,,0.10024097998527344,0.10024097998527344,0.0,,"(-inf, 0.00433]",,,
BNB018,,0.10095722605261397,0.10095722605261397,0.0,,"(0.00433, 0.00903]",,,
BNB018,,0.09924359060178058,0.09924359060178058,0.0,,"(0.00903, 0.0154]",,,
BNB018,,0.10206841154026373,0.10206841154026373,0.0,,"(0.0154, 0.0278]",,,
BNB018,,0.09750987348550773,0.09750987348550773,0.0,,"(0.0278, 0.0525]",,,
BNB018,,0.09997991833456055,0.09997991833456055,0.0,,"(0.0525, 0.0993]",,,
BNB018,,0.10035477608943034,0.10035477608943034,0.0,,"(0.0993, 0.213]",,,
BNB018,,0.09964522391056965,0.09964522391056965,0.0,,"(0.213, 0.484]",,,
BNB018,,0.1,0.1,0.0,,"(0.484, 0.908]",,,
BNB018,,0.1,0.1,0.0,,"(0.908, inf]",,,
NN008,,0.1,0.1,0.0,,,"(-inf, 0.00578]",,
NN008,,0.1,0.1,0.0,,,"(0.00578, 0.00712]",,
NN008,,0.1,0.1,0.0,,,"(0.00712, 0.00887]",,
NN008,,0.1,0.1,0.0,,,"(0.00887, 0.0115]",,
NN008,,0.1,0.1,0.0,,,"(0.0115, 0.0163]",,
NN008,,0.1,0.1,0.0,,,"(0.0163, 0.0255]",,
NN008,,0.1,0.1,0.0,,,"(0.0255, 0.0425]",,
NN008,,0.1,0.1,0.0,,,"(0.0425, 0.0734]",,
NN008,,0.1,0.1,0.0,,,"(0.0734, 0.147]",,
NN008,,0.1,0.1,0.0,,,"(0.147, inf]",,
CAT002,,0.1,0.1,0.0,,,,"(-inf, 0.00735]",
CAT002,,0.1,0.1,0.0,,,,"(0.00735, 0.00965]",
CAT002,,0.1,0.1,0.0,,,,"(0.00965, 0.0123]",
CAT002,,0.1,0.1,0.0,,,,"(0.0123, 0.0157]",
CAT002,,0.1,0.1,0.0,,,,"(0.0157, 0.0214]",
CAT002,,0.1,0.1,0.0,,,,"(0.0214, 0.0323]",
CAT002,,0.1,0.1,0.0,,,,"(0.0323, 0.0508]",
CAT002,,0.1,0.1,0.0,,,,"(0.0508, 0.0826]",
CAT002,,0.1,0.1,0.0,,,,"(0.0826, 0.166]",
CAT002,,0.1,0.1,0.0,,,,"(0.166, inf]",
XGBSTACK001,,0.10072963384430016,0.10072963384430016,0.0,,,,,"(-inf, 0.00498]"
XGBSTACK001,,0.09943771336769529,0.09943771336769529,0.0,,,,,"(0.00498, 0.00751]"
XGBSTACK001,,0.10002677555391927,0.10002677555391927,0.0,,,,,"(0.00751, 0.0102]"
XGBSTACK001,,0.09991967333824218,0.09991967333824218,0.0,,,,,"(0.0102, 0.014]"
XGBSTACK001,,0.10590400963919941,0.10590400963919941,0.0,,,,,"(0.014, 0.0235]"
XGBSTACK001,,0.09510007363277327,0.09510007363277327,0.0,,,,,"(0.0235, 0.035]"
XGBSTACK001,,0.09888881451235022,0.09888881451235022,0.0,,,,,"(0.035, 0.05]"
XGBSTACK001,,0.10001338777695963,0.10001338777695963,0.0,,,,,"(0.05, 0.0849]"
XGBSTACK001,,0.09997991833456055,0.09997991833456055,0.0,,,,,"(0.0849, 0.184]"
XGBSTACK001,,0.1,0.1,0.0,,,,,"(0.184, inf]"
