model_id,model_family,validation_auc,validation_ks,validation_log_loss,validation_brier_score,auc_gap,feature_count,selection_score,model_artifact_available,model_artifact_path,governance_flag,governance_checks
RLOG006,logistic,0.8076700367918621,0.47895575510728333,0.2017977393652506,0.05454493502977246,-0.0029756249197254725,17,0.7320235767096109,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/RLOG006.joblib,governance_friendly_interpretable,"Logistic model; review coefficient direction, p-value, and odds ratio."
RLOG007,logistic,0.807308860365253,0.47817925605269557,0.20172425333785737,0.05447541044041566,-0.002933581834020371,17,0.7307522699119122,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/RLOG007.joblib,governance_friendly_interpretable,"Logistic model; review coefficient direction, p-value, and odds ratio."
RLOG008,logistic,0.8072605994474269,0.47770276310956467,0.20172019663300889,0.054468564711812856,-0.002926068221629885,17,0.7302517659095377,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/RLOG008.joblib,governance_friendly_interpretable,"Logistic model; review coefficient direction, p-value, and odds ratio."
GNB001,naive_bayes,0.7839026138638708,0.4539471147305844,0.4427518603614709,0.06181463611192905,0.002333610974309619,17,0.5808984613867822,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/GNB001.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
GNB002,naive_bayes,0.7481805116329439,0.3914902240343481,0.29046838561154553,0.06246656617858608,0.0009202124671403578,5,0.5138947376435066,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/GNB002.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
GNB003,naive_bayes,0.7287081710241416,0.3645830899382341,0.2855103398229579,0.061410771445534126,0.004345056391106605,6,0.438627859250738,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/GNB003.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
GNB004,naive_bayes,0.7328281442573307,0.37304889112896,0.3426969244039133,0.06135878202110378,0.004633156591698162,8,0.4340093887270514,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/GNB004.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
GNB005,naive_bayes,0.7349559330833546,0.37896145085124855,0.34400800192849573,0.06162450736145561,0.004102656872152721,9,0.44374518251980866,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/GNB005.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
GNB006,naive_bayes,0.7333519743119399,0.37431853553248295,0.3448225005719047,0.0615605598634494,0.005043533087630614,11,0.43072336017028023,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/GNB006.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
GNB007,naive_bayes,0.8018421526815844,0.4711139293575798,0.31572983862170717,0.06002683641075946,-0.0006860663515311227,5,0.6944799180904844,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/GNB007.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
GNB008,naive_bayes,0.7941222136228593,0.46718240863742366,0.30459828115442367,0.058659408776815976,-0.000955971237955433,8,0.6744466231872428,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/GNB008.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
