model_id,model_family,model_name,dataset_type,feature_count,features,train_auc,validation_auc,validation_ks,validation_log_loss,validation_brier_score,auc_gap,selection_score,model_artifact_path,model_artifact_available,interpretability_type,governance_flag,reference_model_role
RLOG002,logistic,Regularized logistic,scaled,17,"RevolvingUtilization_capped_scaled, age_scaled, age_sq_scaled, NumberOfTime30-59DaysPastDueNotWorse_scaled, DebtRatio_capped_scaled, MonthlyIncome_median_scaled, NumberOfOpenCreditLinesAndLoans_scaled, NumberOfTimes90DaysLate_scaled, NumberRealEstateLoansOrLines_scaled, NumberOfTime60-89DaysPastDueNotWorse_scaled, NumberOfDependents_median_scaled, RevolvingUtilization_log_scaled, DebtRatio_log_scaled, MonthlyIncome_missing_flag_scaled, NumberOfDependents_missing_flag_scaled, DebtRatio_high_flag_scaled, RevolvingUtilization_high_flag_scaled",0.8045843211466877,0.807548910648351,0.47920611459139223,0.20176004123897534,0.054521668695544104,-0.0029645895016633395,0.732048292633429,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/RLOG002.joblib,True,coefficients_pvalues_odds_ratios,governance_friendly_interpretable,
RLOG003,logistic,Regularized logistic,scaled,17,"RevolvingUtilization_capped_scaled, age_scaled, age_sq_scaled, NumberOfTime30-59DaysPastDueNotWorse_scaled, DebtRatio_capped_scaled, MonthlyIncome_median_scaled, NumberOfOpenCreditLinesAndLoans_scaled, NumberOfTimes90DaysLate_scaled, NumberRealEstateLoansOrLines_scaled, NumberOfTime60-89DaysPastDueNotWorse_scaled, NumberOfDependents_median_scaled, RevolvingUtilization_log_scaled, DebtRatio_log_scaled, MonthlyIncome_missing_flag_scaled, NumberOfDependents_missing_flag_scaled, DebtRatio_high_flag_scaled, RevolvingUtilization_high_flag_scaled",0.8043732113951042,0.8073018442153181,0.4778886393178257,0.20171856200259944,0.05447257559513629,-0.002928632820213939,0.7304963364364719,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/RLOG003.joblib,True,coefficients_pvalues_odds_ratios,governance_friendly_interpretable,
RLOG004,logistic,Regularized logistic,scaled,17,"RevolvingUtilization_capped_scaled, age_scaled, age_sq_scaled, NumberOfTime30-59DaysPastDueNotWorse_scaled, DebtRatio_capped_scaled, MonthlyIncome_median_scaled, NumberOfOpenCreditLinesAndLoans_scaled, NumberOfTimes90DaysLate_scaled, NumberRealEstateLoansOrLines_scaled, NumberOfTime60-89DaysPastDueNotWorse_scaled, NumberOfDependents_median_scaled, RevolvingUtilization_log_scaled, DebtRatio_log_scaled, MonthlyIncome_missing_flag_scaled, NumberOfDependents_missing_flag_scaled, DebtRatio_high_flag_scaled, RevolvingUtilization_high_flag_scaled",0.8043326806049885,0.807258759798579,0.47767884767454294,0.20171979202957885,0.05446835630324921,-0.0029260791935904473,0.7302266758888537,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/RLOG004.joblib,True,coefficients_pvalues_odds_ratios,governance_friendly_interpretable,
RLOG005,logistic,Regularized logistic,scaled,17,"RevolvingUtilization_capped_scaled, age_scaled, age_sq_scaled, NumberOfTime30-59DaysPastDueNotWorse_scaled, DebtRatio_capped_scaled, MonthlyIncome_median_scaled, NumberOfOpenCreditLinesAndLoans_scaled, NumberOfTimes90DaysLate_scaled, NumberRealEstateLoansOrLines_scaled, NumberOfTime60-89DaysPastDueNotWorse_scaled, NumberOfDependents_median_scaled, RevolvingUtilization_log_scaled, DebtRatio_log_scaled, MonthlyIncome_missing_flag_scaled, NumberOfDependents_missing_flag_scaled, DebtRatio_high_flag_scaled, RevolvingUtilization_high_flag_scaled",0.8049277129810656,0.8076789642652751,0.4768545655329986,0.2030529299347145,0.05505599285121338,-0.0027512512842094994,0.7301369281503434,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/RLOG005.joblib,True,coefficients_pvalues_odds_ratios,governance_friendly_interpretable,
RLOG006,logistic,Regularized logistic,scaled,17,"RevolvingUtilization_capped_scaled, age_scaled, age_sq_scaled, NumberOfTime30-59DaysPastDueNotWorse_scaled, DebtRatio_capped_scaled, MonthlyIncome_median_scaled, NumberOfOpenCreditLinesAndLoans_scaled, NumberOfTimes90DaysLate_scaled, NumberRealEstateLoansOrLines_scaled, NumberOfTime60-89DaysPastDueNotWorse_scaled, NumberOfDependents_median_scaled, RevolvingUtilization_log_scaled, DebtRatio_log_scaled, MonthlyIncome_missing_flag_scaled, NumberOfDependents_missing_flag_scaled, DebtRatio_high_flag_scaled, RevolvingUtilization_high_flag_scaled",0.8046944118721366,0.8076700367918621,0.47895575510728333,0.2017977393652506,0.05454493502977246,-0.0029756249197254725,0.7320235767096109,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/RLOG006.joblib,True,coefficients_pvalues_odds_ratios,governance_friendly_interpretable,
RLOG007,logistic,Regularized logistic,scaled,17,"RevolvingUtilization_capped_scaled, age_scaled, age_sq_scaled, NumberOfTime30-59DaysPastDueNotWorse_scaled, DebtRatio_capped_scaled, MonthlyIncome_median_scaled, NumberOfOpenCreditLinesAndLoans_scaled, NumberOfTimes90DaysLate_scaled, NumberRealEstateLoansOrLines_scaled, NumberOfTime60-89DaysPastDueNotWorse_scaled, NumberOfDependents_median_scaled, RevolvingUtilization_log_scaled, DebtRatio_log_scaled, MonthlyIncome_missing_flag_scaled, NumberOfDependents_missing_flag_scaled, DebtRatio_high_flag_scaled, RevolvingUtilization_high_flag_scaled",0.8043752785312326,0.807308860365253,0.47817925605269557,0.20172425333785737,0.05447541044041566,-0.002933581834020371,0.7307522699119122,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/RLOG007.joblib,True,coefficients_pvalues_odds_ratios,governance_friendly_interpretable,
RLOG008,logistic,Regularized logistic,scaled,17,"RevolvingUtilization_capped_scaled, age_scaled, age_sq_scaled, NumberOfTime30-59DaysPastDueNotWorse_scaled, DebtRatio_capped_scaled, MonthlyIncome_median_scaled, NumberOfOpenCreditLinesAndLoans_scaled, NumberOfTimes90DaysLate_scaled, NumberRealEstateLoansOrLines_scaled, NumberOfTime60-89DaysPastDueNotWorse_scaled, NumberOfDependents_median_scaled, RevolvingUtilization_log_scaled, DebtRatio_log_scaled, MonthlyIncome_missing_flag_scaled, NumberOfDependents_missing_flag_scaled, DebtRatio_high_flag_scaled, RevolvingUtilization_high_flag_scaled",0.804334531225797,0.8072605994474269,0.47770276310956467,0.20172019663300889,0.054468564711812856,-0.002926068221629885,0.7302517659095377,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/RLOG008.joblib,True,coefficients_pvalues_odds_ratios,governance_friendly_interpretable,
GNB001,naive_bayes,GaussianNB baseline,scaled,17,"RevolvingUtilization_capped_scaled, age_scaled, age_sq_scaled, NumberOfTime30-59DaysPastDueNotWorse_scaled, DebtRatio_capped_scaled, MonthlyIncome_median_scaled, NumberOfOpenCreditLinesAndLoans_scaled, NumberOfTimes90DaysLate_scaled, NumberRealEstateLoansOrLines_scaled, NumberOfTime60-89DaysPastDueNotWorse_scaled, NumberOfDependents_median_scaled, RevolvingUtilization_log_scaled, DebtRatio_log_scaled, MonthlyIncome_missing_flag_scaled, NumberOfDependents_missing_flag_scaled, DebtRatio_high_flag_scaled, RevolvingUtilization_high_flag_scaled",0.7862362248381805,0.7839026138638708,0.4539471147305844,0.4427518603614709,0.06181463611192905,0.002333610974309619,0.5808984613867822,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/GNB001.joblib,True,class_probability_review,acceptable_with_supporting_diagnostics,
GNB002,naive_bayes,GaussianNB PCA 0.7,scaled_pca,5,"PC1, PC2, PC3, PC4, PC5",0.7491007241000842,0.7481805116329439,0.3914902240343481,0.29046838561154553,0.06246656617858608,0.0009202124671403578,0.5138947376435066,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/GNB002.joblib,True,class_probability_review,acceptable_with_supporting_diagnostics,
GNB003,naive_bayes,GaussianNB PCA 0.8,scaled_pca,6,"PC1, PC2, PC3, PC4, PC5, PC6",0.7330532274152483,0.7287081710241416,0.3645830899382341,0.2855103398229579,0.061410771445534126,0.004345056391106605,0.438627859250738,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/GNB003.joblib,True,class_probability_review,acceptable_with_supporting_diagnostics,
GNB004,naive_bayes,GaussianNB PCA 0.9,scaled_pca,8,"PC1, PC2, PC3, PC4, PC5, PC6, PC7, PC8",0.7374613008490288,0.7328281442573307,0.37304889112896,0.3426969244039133,0.06135878202110378,0.004633156591698162,0.4340093887270514,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/GNB004.joblib,True,class_probability_review,acceptable_with_supporting_diagnostics,
GNB005,naive_bayes,GaussianNB PCA 0.95,scaled_pca,9,"PC1, PC2, PC3, PC4, PC5, PC6, PC7, PC8, PC9",0.7390585899555073,0.7349559330833546,0.37896145085124855,0.34400800192849573,0.06162450736145561,0.004102656872152721,0.44374518251980866,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/GNB005.joblib,True,class_probability_review,acceptable_with_supporting_diagnostics,
GNB006,naive_bayes,GaussianNB PCA 0.99,scaled_pca,11,"PC1, PC2, PC3, PC4, PC5, PC6, PC7, PC8, PC9, PC10, PC11",0.7383955073995705,0.7333519743119399,0.37431853553248295,0.3448225005719047,0.0615605598634494,0.005043533087630614,0.43072336017028023,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/GNB006.joblib,True,class_probability_review,acceptable_with_supporting_diagnostics,
GNB007,naive_bayes,GaussianNB top_5_permutation_features,scaled_pruned,5,"RevolvingUtilization_log_scaled, RevolvingUtilization_capped_scaled, NumberOfTime30-59DaysPastDueNotWorse_scaled, age_sq_scaled, NumberOfTimes90DaysLate_scaled",0.8011560863300533,0.8018421526815844,0.4711139293575798,0.31572983862170717,0.06002683641075946,-0.0006860663515311227,0.6944799180904844,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/GNB007.joblib,True,class_probability_review,acceptable_with_supporting_diagnostics,
GNB008,naive_bayes,GaussianNB top_8_permutation_features,scaled_pruned,8,"RevolvingUtilization_log_scaled, RevolvingUtilization_capped_scaled, NumberOfTime30-59DaysPastDueNotWorse_scaled, age_sq_scaled, NumberOfTimes90DaysLate_scaled, NumberRealEstateLoansOrLines_scaled, MonthlyIncome_median_scaled, NumberOfDependents_missing_flag_scaled",0.7931662423849039,0.7941222136228593,0.46718240863742366,0.30459828115442367,0.058659408776815976,-0.000955971237955433,0.6744466231872428,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/GNB008.joblib,True,class_probability_review,acceptable_with_supporting_diagnostics,
