model_id,model_family,feature,importance,importance_normalized,importance_type,rank,status
RLOG003,logistic,NumberRealEstateLoansOrLines_scaled,0.02973386024803414,0.0037366947169691555,absolute_coefficient,15.0,available
RLOG003,logistic,NumberOfTime60-89DaysPastDueNotWorse_scaled,2.1399272587741076,0.2689275733408402,absolute_coefficient,1.0,available
RLOG003,logistic,NumberOfDependents_median_scaled,0.0636623149351831,0.008000529830433072,absolute_coefficient,14.0,available
RLOG003,logistic,RevolvingUtilization_log_scaled,0.2007515187476438,0.025228716798635357,absolute_coefficient,9.0,available
RLOG003,logistic,DebtRatio_log_scaled,0.7287260855114397,0.091579999742154,absolute_coefficient,5.0,available
RLOG003,logistic,MonthlyIncome_missing_flag_scaled,0.10289819019320523,0.0129313557161169,absolute_coefficient,12.0,available
RLOG003,logistic,NumberOfDependents_missing_flag_scaled,0.0010534248843874375,0.0001323853400593901,absolute_coefficient,16.0,available
RLOG003,logistic,DebtRatio_high_flag_scaled,0.0,0.0,absolute_coefficient,17.0,available
RLOG003,logistic,RevolvingUtilization_high_flag_scaled,0.14343273050562202,0.0180253866080592,absolute_coefficient,10.0,available
RLOG004,logistic,RevolvingUtilization_capped_scaled,0.7073206689443966,0.08726172241621595,absolute_coefficient,6.0,available
RLOG004,logistic,age_scaled,0.08538464434260805,0.010533851844526976,absolute_coefficient,13.0,available
RLOG004,logistic,age_sq_scaled,0.3573024581156185,0.04408018779551278,absolute_coefficient,7.0,available
RLOG004,logistic,NumberOfTime30-59DaysPastDueNotWorse_scaled,1.1657113365332166,0.14381310137282888,absolute_coefficient,2.0,available
RLOG004,logistic,DebtRatio_capped_scaled,0.8682364527771235,0.1071138051811027,absolute_coefficient,4.0,available
RLOG004,logistic,MonthlyIncome_median_scaled,0.2411115033287863,0.029745780094667423,absolute_coefficient,8.0,available
RLOG004,logistic,NumberOfOpenCreditLinesAndLoans_scaled,0.11148026686964346,0.013753252986347032,absolute_coefficient,11.0,available
RLOG004,logistic,NumberOfTimes90DaysLate_scaled,1.1042107760758506,0.1362258144876859,absolute_coefficient,3.0,available
RLOG004,logistic,NumberRealEstateLoansOrLines_scaled,0.028820829130187738,0.003555608229456867,absolute_coefficient,15.0,available
RLOG004,logistic,NumberOfTime60-89DaysPastDueNotWorse_scaled,2.1500359640649047,0.26524863434446266,absolute_coefficient,1.0,available
RLOG004,logistic,NumberOfDependents_median_scaled,0.06334562379581961,0.007814911231425347,absolute_coefficient,14.0,available
RLOG004,logistic,RevolvingUtilization_log_scaled,0.19706384082786463,0.02431164665703597,absolute_coefficient,9.0,available
RLOG004,logistic,DebtRatio_log_scaled,0.7570542594622875,0.09339732534863232,absolute_coefficient,5.0,available
RLOG004,logistic,MonthlyIncome_missing_flag_scaled,0.10644090798518878,0.013131550333733689,absolute_coefficient,12.0,available
RLOG004,logistic,NumberOfDependents_missing_flag_scaled,0.0012875301253314107,0.0001588418115461821,absolute_coefficient,17.0,available
RLOG004,logistic,DebtRatio_high_flag_scaled,0.01724798801574222,0.0021278738322663576,absolute_coefficient,16.0,available
RLOG004,logistic,RevolvingUtilization_high_flag_scaled,0.14368305973187273,0.017726092032552897,absolute_coefficient,10.0,available
RLOG005,logistic,RevolvingUtilization_capped_scaled,0.5479153502360282,0.11592416414170337,absolute_coefficient,3.0,available
RLOG005,logistic,age_scaled,0.0341154363725226,0.0072179095623265835,absolute_coefficient,16.0,available
RLOG005,logistic,age_sq_scaled,0.20227267361720092,0.04279546212326531,absolute_coefficient,8.0,available
RLOG005,logistic,NumberOfTime30-59DaysPastDueNotWorse_scaled,0.7272492180996099,0.15386639139529087,absolute_coefficient,2.0,available
RLOG005,logistic,DebtRatio_capped_scaled,0.1167883973660592,0.024709286462365827,absolute_coefficient,12.0,available
RLOG005,logistic,MonthlyIncome_median_scaled,0.2217523251245536,0.04691683291126891,absolute_coefficient,7.0,available
RLOG005,logistic,NumberOfOpenCreditLinesAndLoans_scaled,0.11712147252607803,0.02477975621559489,absolute_coefficient,11.0,available
RLOG005,logistic,NumberOfTimes90DaysLate_scaled,0.5306168858835466,0.11226427394126885,absolute_coefficient,4.0,available
RLOG005,logistic,NumberRealEstateLoansOrLines_scaled,0.04186023305619377,0.008856500416945391,absolute_coefficient,15.0,available
RLOG005,logistic,NumberOfTime60-89DaysPastDueNotWorse_scaled,1.1449809273334237,0.24224719548766496,absolute_coefficient,1.0,available
RLOG005,logistic,NumberOfDependents_median_scaled,0.06699545476034449,0.014174437878115058,absolute_coefficient,13.0,available
RLOG005,logistic,RevolvingUtilization_log_scaled,0.34970468622209905,0.07398811409329963,absolute_coefficient,5.0,available
RLOG005,logistic,DebtRatio_log_scaled,0.24799404850118306,0.05246887639164071,absolute_coefficient,6.0,available
RLOG005,logistic,MonthlyIncome_missing_flag_scaled,0.056457318369164,0.01194485140598461,absolute_coefficient,14.0,available
RLOG005,logistic,NumberOfDependents_missing_flag_scaled,0.0016282841031773874,0.0003445011598319881,absolute_coefficient,17.0,available
RLOG005,logistic,DebtRatio_high_flag_scaled,0.18851142503297424,0.03988395172483337,absolute_coefficient,9.0,available
RLOG005,logistic,RevolvingUtilization_high_flag_scaled,0.13053403823941884,0.027617494688599736,absolute_coefficient,10.0,available
RLOG006,logistic,RevolvingUtilization_capped_scaled,0.6519964883938318,0.08992702853764734,absolute_coefficient,4.0,available
RLOG006,logistic,age_scaled,0.06673959084429193,0.009205100329958043,absolute_coefficient,14.0,available
RLOG006,logistic,age_sq_scaled,0.33303891811222885,0.0459346036770908,absolute_coefficient,7.0,available
RLOG006,logistic,NumberOfTime30-59DaysPastDueNotWorse_scaled,1.0947956964436472,0.15100038970994056,absolute_coefficient,2.0,available
RLOG006,logistic,DebtRatio_capped_scaled,0.512587501285485,0.07069895571016888,absolute_coefficient,6.0,available
RLOG006,logistic,MonthlyIncome_median_scaled,0.24952411984288952,0.03441577224015482,absolute_coefficient,9.0,available
RLOG006,logistic,NumberOfOpenCreditLinesAndLoans_scaled,0.11593467716000573,0.01599036376277728,absolute_coefficient,12.0,available
RLOG006,logistic,NumberOfTimes90DaysLate_scaled,0.9958532992349398,0.13735369691978527,absolute_coefficient,3.0,available
RLOG006,logistic,NumberRealEstateLoansOrLines_scaled,0.035102266812780177,0.0048415023786174995,absolute_coefficient,16.0,available
RLOG006,logistic,NumberOfTime60-89DaysPastDueNotWorse_scaled,1.9724553346508333,0.27205215108649083,absolute_coefficient,1.0,available
RLOG006,logistic,NumberOfDependents_median_scaled,0.06468499082661433,0.008921718321447072,absolute_coefficient,15.0,available
RLOG006,logistic,RevolvingUtilization_log_scaled,0.25731196580714166,0.03548991582641762,absolute_coefficient,8.0,available
RLOG006,logistic,DebtRatio_log_scaled,0.5451943816619386,0.07519628033435581,absolute_coefficient,5.0,available
RLOG006,logistic,MonthlyIncome_missing_flag_scaled,0.09391918023963758,0.012953862408750717,absolute_coefficient,13.0,available
RLOG006,logistic,NumberOfDependents_missing_flag_scaled,0.0012609111496231962,0.0001739119687821245,absolute_coefficient,17.0,available
RLOG006,logistic,DebtRatio_high_flag_scaled,0.11953317706454483,0.016486689140856218,absolute_coefficient,11.0,available
RLOG006,logistic,RevolvingUtilization_high_flag_scaled,0.14035141395257397,0.019358057646759064,absolute_coefficient,10.0,available
RLOG007,logistic,RevolvingUtilization_capped_scaled,0.7002873977423563,0.08776590186023778,absolute_coefficient,6.0,available
RLOG007,logistic,age_scaled,0.08516593443918297,0.010673710633551613,absolute_coefficient,13.0,available
